ActCode,ActDescription,ShortName,Active
A1,"Motor Vehicles Act, 1988",MV Act,True
A2,"Indian Penal Code, 1860",IPC,True
A3,"Information Technology Act, 2000",IT Act,True
A4,"Information Technology Act, 2000",IT Act,True
A5,NDPS Act,NDPS,False
A6,NDPS Act,NDPS,True
A7,"Indian Penal Code, 1860",IPC,True
A8,"Indian Penal Code, 1860",IPC,True
A9,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A10,POCSO Act,POCSO,True
A11,"Motor Vehicles Act, 1988",MV Act,True
A12,NDPS Act,NDPS,True
A13,POCSO Act,POCSO,True
A14,NDPS Act,NDPS,True
A15,Arms Act,Arms Act,True
A16,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A17,"Motor Vehicles Act, 1988",MV Act,True
A18,POCSO Act,POCSO,False
A19,"Indian Penal Code, 1860",IPC,True
A20,Arms Act,Arms Act,True
A21,NDPS Act,NDPS,True
A22,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A23,"Information Technology Act, 2000",IT Act,True
A24,"Information Technology Act, 2000",IT Act,True
A25,POCSO Act,POCSO,True
A26,"Information Technology Act, 2000",IT Act,True
A27,"Information Technology Act, 2000",IT Act,True
A28,"Information Technology Act, 2000",IT Act,False
A29,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A30,NDPS Act,NDPS,True
A31,"Information Technology Act, 2000",IT Act,True
A32,NDPS Act,NDPS,True
A33,"Indian Penal Code, 1860",IPC,True
A34,POCSO Act,POCSO,True
A35,Arms Act,Arms Act,True
A36,"Motor Vehicles Act, 1988",MV Act,True
A37,POCSO Act,POCSO,True
A38,"Motor Vehicles Act, 1988",MV Act,True
A39,POCSO Act,POCSO,True
A40,"Motor Vehicles Act, 1988",MV Act,True
A41,"Motor Vehicles Act, 1988",MV Act,True
A42,POCSO Act,POCSO,True
A43,NDPS Act,NDPS,True
A44,POCSO Act,POCSO,True
A45,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A46,"Information Technology Act, 2000",IT Act,True
A47,"Information Technology Act, 2000",IT Act,True
A48,"Indian Penal Code, 1860",IPC,True
A49,"Indian Penal Code, 1860",IPC,True
A50,"Motor Vehicles Act, 1988",MV Act,True
A51,"Information Technology Act, 2000",IT Act,True
A52,"Indian Penal Code, 1860",IPC,True
A53,POCSO Act,POCSO,True
A54,Arms Act,Arms Act,True
A55,NDPS Act,NDPS,True
A56,"Motor Vehicles Act, 1988",MV Act,True
A57,"Information Technology Act, 2000",IT Act,True
A58,"Motor Vehicles Act, 1988",MV Act,True
A59,NDPS Act,NDPS,True
A60,NDPS Act,NDPS,True
A61,Arms Act,Arms Act,False
A62,POCSO Act,POCSO,True
A63,POCSO Act,POCSO,True
A64,"Information Technology Act, 2000",IT Act,True
A65,"Motor Vehicles Act, 1988",MV Act,True
A66,Arms Act,Arms Act,True
A67,"Motor Vehicles Act, 1988",MV Act,True
A68,POCSO Act,POCSO,True
A69,"Motor Vehicles Act, 1988",MV Act,True
A70,"Motor Vehicles Act, 1988",MV Act,True
A71,Arms Act,Arms Act,False
A72,"Motor Vehicles Act, 1988",MV Act,True
A73,"Information Technology Act, 2000",IT Act,True
A74,NDPS Act,NDPS,True
A75,Arms Act,Arms Act,True
A76,"Indian Penal Code, 1860",IPC,True
A77,"Indian Penal Code, 1860",IPC,True
A78,"Motor Vehicles Act, 1988",MV Act,True
A79,"Indian Penal Code, 1860",IPC,False
A80,"Information Technology Act, 2000",IT Act,True
A81,NDPS Act,NDPS,True
A82,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A83,NDPS Act,NDPS,True
A84,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A85,"Information Technology Act, 2000",IT Act,True
A86,"Motor Vehicles Act, 1988",MV Act,True
A87,"Indian Penal Code, 1860",IPC,True
A88,"Motor Vehicles Act, 1988",MV Act,True
A89,Arms Act,Arms Act,True
A90,Arms Act,Arms Act,True
A91,"Motor Vehicles Act, 1988",MV Act,True
A92,Arms Act,Arms Act,True
A93,"Indian Penal Code, 1860",IPC,True
A94,"Indian Penal Code, 1860",IPC,True
A95,Arms Act,Arms Act,True
A96,"Information Technology Act, 2000",IT Act,True
A97,Arms Act,Arms Act,True
A98,"Information Technology Act, 2000",IT Act,True
A99,"Motor Vehicles Act, 1988",MV Act,False
A100,"Motor Vehicles Act, 1988",MV Act,True
A101,"Motor Vehicles Act, 1988",MV Act,True
A102,"Motor Vehicles Act, 1988",MV Act,True
A103,NDPS Act,NDPS,True
A104,NDPS Act,NDPS,True
A105,"Motor Vehicles Act, 1988",MV Act,True
A106,NDPS Act,NDPS,True
A107,"Motor Vehicles Act, 1988",MV Act,True
A108,NDPS Act,NDPS,True
A109,Arms Act,Arms Act,True
A110,POCSO Act,POCSO,True
A111,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A112,"Motor Vehicles Act, 1988",MV Act,True
A113,"Motor Vehicles Act, 1988",MV Act,True
A114,"Information Technology Act, 2000",IT Act,True
A115,NDPS Act,NDPS,True
A116,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A117,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A118,"Information Technology Act, 2000",IT Act,True
A119,"Motor Vehicles Act, 1988",MV Act,True
A120,"Information Technology Act, 2000",IT Act,True
A121,NDPS Act,NDPS,True
A122,POCSO Act,POCSO,True
A123,"Indian Penal Code, 1860",IPC,True
A124,"Indian Penal Code, 1860",IPC,True
A125,"Information Technology Act, 2000",IT Act,True
A126,"Motor Vehicles Act, 1988",MV Act,True
A127,POCSO Act,POCSO,True
A128,"Indian Penal Code, 1860",IPC,True
A129,NDPS Act,NDPS,True
A130,NDPS Act,NDPS,True
A131,"Indian Penal Code, 1860",IPC,True
A132,"Motor Vehicles Act, 1988",MV Act,True
A133,Arms Act,Arms Act,True
A134,"Motor Vehicles Act, 1988",MV Act,True
A135,SC/ST Prevention of Atrocities Act,SC/ST Act,True
A136,"Indian Penal Code, 1860",IPC,True
A137,"Information Technology Act, 2000",IT Act,True
A138,NDPS Act,NDPS,True
A139,POCSO Act,POCSO,True
