CaseMasterID,ActID,SectionID,ActOrderID,SectionOrderID
3044,A36189,77921,1,3
44063,A48675,40619,1,3
26965,A39654,90172,1,2
97654,A50412,95550,2,1
76753,A61091,32908,1,2
78623,A49110,72400,4,3
11227,A88289,6407,4,4
91700,A3535,62791,1,2
95301,A76617,75958,3,3
93343,A13441,17876,1,3
39484,A82077,8008,1,3
66012,A82218,58626,1,4
20288,A90748,80659,2,3
79862,A71717,89967,4,2
9303,A6331,57699,4,4
20006,A74695,11342,2,2
25951,A67714,8441,2,2
61025,A45640,51023,2,3
93463,A14981,72263,2,1
96727,A83528,68601,1,1
59798,A77283,49666,1,2
12579,A15964,36948,1,1
17133,A25220,75274,4,4
54781,A35833,38161,3,2
40409,A33168,86936,1,4
82,A3169,27027,4,3
25060,A71897,7041,2,3
83256,A47873,15699,4,4
48280,A216,3184,2,3
82744,A22386,11764,3,4
50804,A21524,47627,2,3
41001,A91495,62174,3,3
50744,A61481,28351,2,1
3431,A62147,91514,1,1
88122,A76073,87107,1,1
11792,A39020,79901,4,2
75605,A66876,19717,1,4
94853,A69986,54589,2,4
48665,A78525,40277,1,3
57648,A453,49305,3,2
60121,A19607,41297,3,2
51636,A69935,77590,4,3
66986,A25470,65453,3,4
41219,A24850,78274,3,1
76904,A58827,42511,4,3
50397,A22387,40806,3,3
41577,A3107,50105,1,4
54277,A73854,34066,3,2
89866,A84147,52154,2,4
88651,A93342,82696,1,3
25162,A39315,78419,4,2
81112,A74025,48959,3,4
44431,A77894,54686,3,4
89328,A60535,99863,1,1
94063,A13687,40800,4,3
90399,A33686,65763,2,3
16402,A19234,18232,3,3
40820,A345,69715,1,3
75735,A19237,86273,2,1
51314,A28928,89948,1,2
34119,A35055,82617,1,3
66791,A74640,26824,4,4
16629,A38235,45600,2,2
43495,A675,45396,2,4
85290,A73246,79839,2,2
6263,A48138,94949,1,1
12502,A45735,56214,1,4
47924,A40913,88214,1,4
39239,A21935,48123,4,4
95651,A78184,51141,4,2
35451,A9234,38065,4,3
38752,A38863,44311,2,2
24577,A99402,57470,2,3
87848,A89179,72327,4,2
592,A24117,84280,2,1
78699,A86724,55904,1,2
28973,A40633,38135,2,4
77228,A59484,16532,1,3
13209,A88285,44397,1,3
69944,A87091,36484,4,4
11240,A13951,46575,2,4
80390,A84428,50676,2,1
29662,A64630,49868,2,4
17599,A38039,78865,4,3
62426,A85347,41157,3,4
47406,A60241,34934,4,4
32950,A1907,35920,1,2
50803,A11892,88664,2,1
87443,A87200,26380,1,4
46734,A18946,92658,3,1
74081,A92870,24016,4,3
63307,A1234,70006,3,4
87784,A86489,48995,1,3
21824,A8529,80352,1,2
22960,A41488,96877,2,2
947,A63117,99627,2,4
91232,A29018,32725,4,3
12311,A29494,68605,4,2
95763,A56476,76515,2,1
25485,A21544,54029,1,4
1456,A50195,16513,3,1
70073,A73501,98992,1,1
47014,A98609,8244,2,2
82594,A97234,78442,3,2
36902,A3053,45532,3,3
30963,A361,50915,4,3
12010,A36045,47651,1,1
59916,A85459,7075,3,4
28867,A47913,192,3,1
77479,A19459,28376,4,2
81686,A59371,96560,1,2
80122,A44733,88999,3,1
55760,A83951,53435,1,4
10796,A87738,50048,1,3
99312,A614,58682,3,4
32361,A80413,43592,2,2
88020,A58564,20616,1,4
7815,A83345,10537,3,2
83585,A20650,13844,1,4
22067,A87670,29576,3,1
57527,A35314,10829,1,2
67049,A46677,14047,4,1
90649,A44500,7212,1,1
54932,A73333,3457,2,3
26631,A29041,82054,4,3
63186,A78113,75175,1,3
86684,A67070,12843,2,3
43004,A20120,17482,3,2
71919,A82477,34644,3,4
30426,A62042,63550,3,3
40326,A3806,44666,4,4
19924,A27835,21391,4,1
15950,A79057,28009,2,2
83839,A8411,30495,2,4
715,A62893,78771,2,4
82253,A34191,66910,4,2
24559,A17521,21148,4,4
72537,A69364,34339,2,3
74886,A93736,33640,2,2
19665,A27839,2556,2,2
11815,A44678,39059,3,2
23286,A47362,87983,3,1
34142,A25916,56768,1,3
54477,A55980,91816,4,1
2627,A47994,62096,1,1
86009,A17306,61181,4,4
93161,A17807,60195,1,3
38900,A52778,70629,2,4
44978,A91194,28760,3,4
21673,A144,28616,3,1
78143,A28420,41977,4,2
24376,A63363,99383,2,3
67422,A13095,19217,2,4
55671,A19288,29700,4,3
90527,A40513,23110,1,2
64903,A29340,83034,4,1
37398,A83298,42422,1,1
58385,A31731,34410,2,3
60851,A32779,77239,1,4
9104,A75487,29964,1,2
30990,A74484,4295,4,1
2188,A98018,88315,1,1
43634,A68256,64172,2,3
54073,A33274,99390,2,3
53560,A72124,49603,1,2
3354,A30408,39733,1,3
96658,A9702,38276,3,2
66521,A47821,7852,4,4
44425,A87266,52055,2,3
93749,A89230,7967,2,3
40289,A65603,63183,1,4
88180,A39558,47144,3,1
13906,A39424,31587,1,1
57403,A70192,26249,4,2
93940,A13970,73617,2,1
60341,A13244,44895,4,1
70174,A34062,66646,4,1
29420,A13231,62999,4,2
99355,A63124,54872,2,2
95119,A96944,49270,2,2
66702,A86468,44994,3,2
38411,A10226,47986,4,4
82057,A10623,18802,4,2
16163,A64596,44332,1,3
58711,A20771,19527,4,4
84784,A29978,71421,2,1
55402,A69219,10410,1,4
27427,A79012,34699,2,1
51164,A6933,57180,4,3
57747,A94634,66745,4,1
97004,A94843,65372,2,1
50152,A68422,28569,2,2
10203,A86387,95039,1,2
60442,A26981,69609,3,3
95543,A73024,4645,4,3
18659,A67879,31163,3,2
50970,A97219,25302,2,3
71009,A36414,1924,1,2
86735,A31185,10868,1,3
45623,A46298,75897,4,1
59199,A15676,43480,4,2
52073,A19103,31794,3,1
94423,A39636,8017,1,3
18033,A20759,60257,2,3
80583,A76301,34107,3,1
33040,A68959,6485,1,1
6563,A11115,59198,3,2
31898,A56784,56440,4,2
68672,A90445,46403,2,4
92376,A97151,32912,3,4
23632,A59194,6034,1,4
23698,A15759,57955,3,4
44779,A81737,59461,1,1
32519,A9070,1921,4,3
9723,A12942,37585,1,2
17644,A32911,5841,4,2
58877,A34653,43626,1,3
87583,A95330,92981,3,2
31767,A98845,86489,2,3
59681,A91469,92092,2,3
24473,A60762,28906,1,3
67684,A18788,8723,2,2
15633,A88788,93504,3,1
60941,A89000,72629,2,2
39615,A90344,70550,2,3
68491,A15353,18098,2,2
25111,A89911,71739,4,4
39243,A65012,93959,2,4
17130,A65969,86927,4,3
23541,A11674,99190,4,3
56850,A44457,50482,3,2
39106,A61807,67459,2,1
4554,A80849,3822,3,1
10304,A76785,69785,3,3
46240,A59097,95794,2,3
18675,A85678,56709,1,1
86443,A21445,17540,1,4
80140,A23108,96803,2,2
16952,A33722,59330,2,4
81225,A47976,78891,1,2
56117,A64112,61998,4,1
60051,A74154,45798,1,4
17259,A46858,36654,4,3
86992,A2715,26551,3,1
733,A50330,86885,3,3
26682,A59929,13542,4,1
76299,A74402,27712,4,4
43748,A20753,36352,2,2
15032,A29013,95925,4,3
26869,A63083,62592,4,1
52378,A15164,23961,2,4
57873,A32663,22469,3,2
71644,A35819,58475,4,4
68629,A57755,44371,1,2
71599,A99189,7590,1,4
94248,A24956,13998,4,1
95036,A78043,37023,4,3
82880,A16578,71000,3,3
67186,A22416,61126,4,4
23817,A93030,81088,4,2
197,A35517,97907,1,4
29535,A77537,1288,1,1
91682,A75529,52415,4,2
66125,A34410,92466,1,1
57595,A69405,16059,1,1
37649,A9264,98599,2,4
10552,A21448,15452,3,1
4239,A20606,41837,2,3
869,A83933,40444,2,1
70870,A32475,81648,2,1
47615,A32058,94742,4,4
57190,A41289,85487,1,4
49049,A11277,67565,1,4
73300,A40123,72479,2,3
23973,A67493,75814,2,4
26017,A18601,4129,2,1
70421,A29525,36168,2,3
68164,A66990,44691,2,2
44202,A60215,69042,1,2
18123,A40612,36606,4,1
5278,A93532,68381,4,1
89247,A9229,61437,3,4
82505,A38569,43433,4,2
91916,A69633,24709,1,3
66145,A49155,39406,3,4
86813,A24201,78475,1,3
74320,A48856,14419,1,4
75248,A43699,88846,3,1
