CaseCategoryID,LookupValue
1,PAR
2,FIR
3,FIR
4,UDR
5,Zero FIR
6,FIR
7,PAR
8,PAR
9,UDR
10,PAR
11,PAR
12,UDR
13,UDR
14,Zero FIR
15,Zero FIR
16,PAR
17,FIR
18,PAR
19,FIR
20,Zero FIR
21,FIR
22,PAR
23,FIR
24,UDR
25,UDR
26,Zero FIR
27,PAR
28,PAR
29,UDR
30,Zero FIR
31,Zero FIR
32,UDR
33,PAR
34,PAR
35,FIR
36,PAR
37,UDR
38,UDR
39,PAR
40,FIR
41,UDR
42,PAR
43,PAR
44,Zero FIR
45,Zero FIR
46,FIR
47,Zero FIR
48,FIR
49,UDR
50,Zero FIR
51,Zero FIR
52,UDR
53,PAR
54,UDR
55,Zero FIR
56,Zero FIR
57,Zero FIR
58,FIR
59,UDR
60,Zero FIR
61,Zero FIR
62,PAR
63,Zero FIR
64,Zero FIR
65,FIR
66,UDR
67,FIR
68,Zero FIR
69,FIR
70,Zero FIR
71,Zero FIR
72,UDR
73,PAR
74,PAR
75,PAR
76,PAR
77,PAR
78,FIR
79,UDR
80,FIR
81,Zero FIR
82,PAR
83,PAR
84,FIR
85,FIR
86,FIR
87,FIR
88,PAR
89,PAR
90,FIR
91,PAR
92,FIR
93,FIR
94,Zero FIR
95,Zero FIR
96,PAR
97,FIR
98,Zero FIR
99,PAR
100,UDR
101,PAR
102,FIR
103,PAR
104,Zero FIR
105,PAR
106,Zero FIR
107,UDR
108,UDR
109,UDR
110,Zero FIR
111,UDR
112,UDR
113,Zero FIR
114,PAR
115,UDR
116,Zero FIR
117,FIR
118,PAR
119,Zero FIR
120,FIR
121,Zero FIR
122,UDR
123,Zero FIR
124,PAR
125,Zero FIR
126,UDR
127,UDR
128,Zero FIR
129,FIR
130,FIR
131,UDR
132,PAR
133,UDR
134,PAR
135,UDR
136,PAR
137,PAR
138,FIR
139,Zero FIR
140,PAR
141,FIR
142,UDR
143,Zero FIR
144,FIR
145,FIR
146,UDR
147,Zero FIR
148,Zero FIR
149,FIR
150,PAR
151,Zero FIR
152,Zero FIR
153,FIR
154,FIR
155,UDR
156,Zero FIR
157,FIR
158,PAR
159,Zero FIR
160,FIR
161,PAR
162,UDR
163,UDR
164,Zero FIR
165,PAR
166,UDR
167,PAR
168,FIR
169,FIR
170,FIR
171,UDR
172,UDR
173,PAR
174,PAR
175,UDR
176,PAR
177,FIR
178,UDR
179,FIR
180,UDR
181,Zero FIR
182,PAR
183,Zero FIR
184,UDR
185,FIR
186,Zero FIR
187,FIR
188,Zero FIR
189,FIR
190,Zero FIR
191,FIR
192,Zero FIR
193,FIR
194,PAR
195,PAR
196,PAR
