CaseStatusID,CaseStatusName
1,Closed
2,Under Investigation
3,Under Investigation
4,Charge Sheeted
5,Under Investigation
6,Charge Sheeted
7,Undetected
8,Closed
9,Under Investigation
10,Charge Sheeted
11,Undetected
12,Under Investigation
13,Closed
14,Undetected
15,Under Investigation
16,Charge Sheeted
17,Closed
18,Closed
19,Closed
20,Undetected
21,Undetected
22,Charge Sheeted
23,Charge Sheeted
24,Closed
25,Charge Sheeted
26,Under Investigation
27,Closed
28,Charge Sheeted
29,Closed
30,Closed
31,Charge Sheeted
32,Closed
33,Undetected
34,Undetected
35,Charge Sheeted
36,Charge Sheeted
37,Undetected
38,Charge Sheeted
39,Closed
40,Closed
41,Charge Sheeted
42,Closed
43,Charge Sheeted
44,Charge Sheeted
45,Closed
46,Under Investigation
47,Closed
48,Charge Sheeted
49,Undetected
50,Closed
51,Undetected
52,Under Investigation
53,Undetected
54,Under Investigation
55,Under Investigation
56,Charge Sheeted
57,Charge Sheeted
58,Undetected
59,Undetected
60,Under Investigation
61,Charge Sheeted
62,Closed
63,Closed
64,Charge Sheeted
65,Closed
66,Closed
67,Under Investigation
68,Closed
69,Undetected
70,Under Investigation
71,Undetected
72,Under Investigation
73,Undetected
74,Undetected
75,Charge Sheeted
76,Under Investigation
77,Under Investigation
78,Charge Sheeted
79,Closed
80,Undetected
81,Charge Sheeted
82,Under Investigation
83,Undetected
84,Charge Sheeted
85,Undetected
86,Undetected
87,Undetected
88,Charge Sheeted
89,Closed
90,Undetected
91,Undetected
92,Closed
93,Under Investigation
94,Closed
95,Undetected
96,Undetected
97,Charge Sheeted
98,Under Investigation
99,Under Investigation
100,Closed
101,Charge Sheeted
102,Under Investigation
103,Undetected
104,Closed
105,Closed
106,Charge Sheeted
107,Charge Sheeted
108,Under Investigation
109,Charge Sheeted
110,Under Investigation
111,Charge Sheeted
112,Closed
113,Closed
114,Under Investigation
115,Undetected
116,Closed
117,Charge Sheeted
118,Closed
119,Under Investigation
120,Closed
121,Closed
122,Charge Sheeted
123,Under Investigation
124,Under Investigation
125,Charge Sheeted
126,Undetected
127,Under Investigation
128,Charge Sheeted
129,Closed
130,Closed
131,Closed
132,Undetected
133,Closed
134,Undetected
135,Under Investigation
136,Under Investigation
137,Under Investigation
138,Closed
139,Undetected
140,Closed
141,Under Investigation
142,Charge Sheeted
143,Closed
144,Closed
145,Undetected
146,Undetected
147,Closed
148,Closed
149,Under Investigation
150,Charge Sheeted
151,Under Investigation
152,Charge Sheeted
153,Charge Sheeted
154,Closed
155,Charge Sheeted
156,Under Investigation
157,Closed
158,Charge Sheeted
159,Undetected
160,Charge Sheeted
161,Under Investigation
162,Closed
163,Closed
164,Undetected
165,Charge Sheeted
166,Under Investigation
167,Charge Sheeted
168,Charge Sheeted
169,Closed
170,Undetected
171,Undetected
172,Under Investigation
173,Closed
174,Under Investigation
175,Under Investigation
176,Under Investigation
177,Under Investigation
178,Undetected
179,Closed
180,Under Investigation
181,Undetected
182,Closed
183,Closed
184,Undetected
185,Charge Sheeted
186,Closed
187,Closed
188,Undetected
189,Charge Sheeted
190,Under Investigation
191,Closed
192,Under Investigation
193,Under Investigation
194,Under Investigation
195,Closed
196,Closed
197,Under Investigation
198,Closed
199,Undetected
200,Undetected
201,Under Investigation
202,Under Investigation
203,Under Investigation
204,Undetected
205,Closed
206,Closed
207,Charge Sheeted
208,Under Investigation
209,Under Investigation
210,Closed
211,Undetected
212,Undetected
213,Closed
214,Under Investigation
215,Closed
216,Closed
217,Closed
218,Under Investigation
219,Undetected
220,Undetected
221,Undetected
222,Under Investigation
223,Charge Sheeted
224,Undetected
225,Undetected
226,Charge Sheeted
227,Under Investigation
228,Undetected
229,Under Investigation
230,Under Investigation
231,Charge Sheeted
232,Undetected
233,Charge Sheeted
234,Undetected
235,Charge Sheeted
236,Closed
237,Closed
238,Under Investigation
239,Undetected
240,Under Investigation
241,Under Investigation
242,Charge Sheeted
243,Undetected
244,Undetected
245,Undetected
246,Under Investigation
247,Closed
248,Under Investigation
249,Under Investigation
250,Under Investigation
251,Charge Sheeted
252,Undetected
253,Undetected
254,Charge Sheeted
255,Under Investigation
256,Charge Sheeted
257,Closed
258,Under Investigation
259,Under Investigation
260,Undetected
261,Closed
262,Under Investigation
263,Charge Sheeted
264,Undetected
265,Charge Sheeted
266,Undetected
267,Under Investigation
268,Undetected
269,Undetected
270,Charge Sheeted
271,Closed
272,Charge Sheeted
273,Undetected
274,Undetected
275,Undetected
276,Undetected
277,Under Investigation
278,Undetected
279,Undetected
280,Charge Sheeted
281,Undetected
282,Under Investigation
283,Undetected
284,Undetected
285,Under Investigation
286,Charge Sheeted
287,Undetected
288,Charge Sheeted
289,Charge Sheeted
290,Charge Sheeted
291,Undetected
292,Closed
293,Under Investigation
294,Under Investigation
295,Undetected
296,Under Investigation
297,Under Investigation
298,Undetected
299,Undetected
300,Under Investigation
301,Under Investigation
302,Closed
303,Undetected
304,Charge Sheeted
305,Under Investigation
306,Under Investigation
307,Undetected
308,Under Investigation
309,Closed
310,Charge Sheeted
311,Charge Sheeted
312,Under Investigation
313,Closed
314,Under Investigation
315,Charge Sheeted
316,Closed
317,Charge Sheeted
318,Under Investigation
319,Under Investigation
320,Undetected
321,Under Investigation
322,Charge Sheeted
323,Undetected
324,Undetected
325,Undetected
326,Charge Sheeted
327,Charge Sheeted
328,Charge Sheeted
329,Charge Sheeted
330,Under Investigation
331,Charge Sheeted
332,Charge Sheeted
333,Charge Sheeted
334,Under Investigation
335,Closed
336,Undetected
337,Undetected
338,Closed
339,Under Investigation
340,Undetected
341,Undetected
342,Charge Sheeted
343,Closed
344,Undetected
345,Closed
346,Closed
347,Closed
348,Undetected
349,Undetected
350,Under Investigation
351,Undetected
352,Undetected
353,Charge Sheeted
354,Charge Sheeted
355,Closed
356,Under Investigation
357,Charge Sheeted
358,Closed
359,Under Investigation
360,Undetected
361,Undetected
362,Under Investigation
363,Closed
364,Undetected
365,Under Investigation
366,Charge Sheeted
367,Under Investigation
368,Charge Sheeted
369,Undetected
370,Closed
371,Under Investigation
372,Undetected
373,Closed
374,Charge Sheeted
375,Undetected
376,Closed
377,Under Investigation
378,Undetected
379,Closed
380,Closed
381,Closed
382,Charge Sheeted
383,Closed
384,Charge Sheeted
385,Under Investigation
386,Closed
387,Charge Sheeted
388,Closed
389,Closed
390,Undetected
391,Under Investigation
392,Undetected
393,Undetected
394,Undetected
395,Closed
396,Closed
397,Undetected
398,Undetected
399,Undetected
400,Charge Sheeted
401,Undetected
402,Under Investigation
403,Charge Sheeted
404,Closed
405,Charge Sheeted
406,Closed
407,Charge Sheeted
408,Closed
409,Charge Sheeted
410,Charge Sheeted
411,Charge Sheeted
412,Undetected
413,Under Investigation
414,Undetected
415,Charge Sheeted
416,Closed
417,Under Investigation
418,Charge Sheeted
419,Charge Sheeted
420,Undetected
421,Undetected
422,Charge Sheeted
423,Undetected
424,Undetected
425,Closed
426,Closed
427,Under Investigation
428,Under Investigation
429,Under Investigation
430,Charge Sheeted
431,Undetected
