caste_master_id,caste_master_name
1,Others_1
2,General_2
3,SC_3
4,General_4
5,OBC_5
6,General_6
7,General_7
8,ST_8
9,ST_9
10,ST_10
11,ST_11
12,ST_12
13,Others_13
14,Others_14
15,ST_15
16,General_16
17,General_17
18,OBC_18
19,Others_19
20,SC_20
21,SC_21
22,SC_22
23,General_23
24,OBC_24
25,ST_25
26,SC_26
27,SC_27
28,ST_28
29,SC_29
30,Others_30
31,Others_31
32,OBC_32
33,OBC_33
34,ST_34
35,SC_35
36,OBC_36
37,ST_37
38,SC_38
39,SC_39
40,SC_40
41,ST_41
42,Others_42
43,SC_43
44,Others_44
45,ST_45
46,General_46
47,SC_47
48,ST_48
49,OBC_49
50,ST_50
51,General_51
52,ST_52
53,ST_53
54,OBC_54
55,SC_55
56,SC_56
57,Others_57
58,SC_58
59,General_59
60,Others_60
61,SC_61
62,OBC_62
63,Others_63
64,SC_64
65,OBC_65
66,SC_66
67,General_67
68,Others_68
69,SC_69
70,ST_70
71,SC_71
72,Others_72
73,OBC_73
74,OBC_74
75,ST_75
76,General_76
77,Others_77
78,Others_78
79,Others_79
80,Others_80
81,General_81
82,OBC_82
83,General_83
84,OBC_84
85,Others_85
86,General_86
87,Others_87
88,SC_88
89,General_89
90,ST_90
91,Others_91
92,General_92
93,OBC_93
94,ST_94
95,OBC_95
96,SC_96
97,ST_97
98,ST_98
99,ST_99
100,General_100
101,ST_101
102,Others_102
103,Others_103
104,General_104
105,OBC_105
106,SC_106
107,General_107
108,OBC_108
109,Others_109
110,OBC_110
111,ST_111
112,OBC_112
113,SC_113
114,SC_114
115,SC_115
116,Others_116
117,Others_117
118,Others_118
119,SC_119
120,OBC_120
121,SC_121
122,ST_122
123,Others_123
124,SC_124
125,ST_125
126,ST_126
127,SC_127
128,SC_128
129,General_129
130,SC_130
131,SC_131
132,Others_132
133,ST_133
134,OBC_134
135,OBC_135
136,OBC_136
137,OBC_137
138,OBC_138
139,General_139
140,General_140
141,ST_141
142,OBC_142
143,Others_143
144,ST_144
145,General_145
146,SC_146
147,Others_147
148,SC_148
149,General_149
150,OBC_150
151,ST_151
152,OBC_152
153,ST_153
154,SC_154
155,ST_155
156,General_156
157,Others_157
158,General_158
159,Others_159
160,General_160
161,ST_161
162,OBC_162
163,Others_163
164,Others_164
165,OBC_165
166,ST_166
167,SC_167
168,OBC_168
169,General_169
170,General_170
171,ST_171
172,SC_172
173,SC_173
174,General_174
175,Others_175
176,SC_176
177,General_177
178,SC_178
179,SC_179
180,SC_180
181,Others_181
182,Others_182
183,General_183
184,Others_184
185,ST_185
186,General_186
187,OBC_187
188,SC_188
189,Others_189
190,Others_190
191,General_191
192,SC_192
193,ST_193
194,General_194
195,Others_195
196,General_196
197,OBC_197
198,General_198
199,SC_199
200,Others_200
201,General_201
202,OBC_202
203,Others_203
204,OBC_204
205,SC_205
206,SC_206
207,ST_207
208,ST_208
209,Others_209
210,Others_210
211,OBC_211
212,Others_212
213,SC_213
214,OBC_214
215,OBC_215
216,Others_216
217,General_217
218,SC_218
219,Others_219
220,ST_220
221,SC_221
222,General_222
223,Others_223
224,OBC_224
225,General_225
226,SC_226
227,SC_227
228,ST_228
229,ST_229
230,ST_230
231,General_231
232,SC_232
233,OBC_233
234,Others_234
235,OBC_235
236,SC_236
237,General_237
238,ST_238
239,OBC_239
240,General_240
241,General_241
242,OBC_242
243,OBC_243
244,Others_244
245,Others_245
246,OBC_246
247,SC_247
248,Others_248
249,Others_249
250,SC_250
251,ST_251
252,SC_252
253,General_253
254,ST_254
255,General_255
256,Others_256
257,SC_257
258,SC_258
259,ST_259
260,General_260
261,OBC_261
262,General_262
263,OBC_263
264,OBC_264
265,Others_265
266,OBC_266
267,General_267
268,Others_268
269,OBC_269
270,OBC_270
271,General_271
272,OBC_272
273,OBC_273
274,General_274
275,ST_275
276,OBC_276
277,Others_277
278,OBC_278
279,General_279
280,General_280
281,SC_281
282,General_282
283,ST_283
284,ST_284
285,OBC_285
286,Others_286
287,SC_287
288,General_288
289,Others_289
290,General_290
291,OBC_291
292,OBC_292
293,General_293
294,SC_294
295,OBC_295
296,General_296
297,OBC_297
298,ST_298
299,ST_299
300,General_300
301,SC_301
302,ST_302
303,SC_303
304,Others_304
305,General_305
306,OBC_306
307,OBC_307
308,SC_308
309,ST_309
310,General_310
311,Others_311
312,OBC_312
313,SC_313
314,ST_314
315,ST_315
316,ST_316
317,OBC_317
318,Others_318
319,General_319
320,Others_320
321,Others_321
322,ST_322
323,SC_323
324,Others_324
325,Others_325
326,Others_326
327,SC_327
328,SC_328
329,SC_329
330,ST_330
331,General_331
332,SC_332
333,OBC_333
334,ST_334
335,OBC_335
336,ST_336
337,SC_337
338,Others_338
339,Others_339
340,General_340
341,ST_341
342,OBC_342
343,General_343
344,ST_344
345,General_345
346,ST_346
347,Others_347
348,Others_348
349,General_349
350,General_350
351,ST_351
352,General_352
353,Others_353
354,Others_354
355,ST_355
356,Others_356
357,SC_357
358,SC_358
359,OBC_359
360,OBC_360
361,General_361
362,OBC_362
363,Others_363
364,SC_364
365,Others_365
366,Others_366
367,General_367
368,ST_368
369,Others_369
370,SC_370
371,SC_371
372,Others_372
373,General_373
374,OBC_374
375,ST_375
376,Others_376
377,SC_377
378,General_378
379,SC_379
380,General_380
381,General_381
382,ST_382
383,General_383
384,ST_384
385,SC_385
386,Others_386
387,Others_387
388,OBC_388
389,ST_389
390,Others_390
391,SC_391
392,ST_392
393,SC_393
394,Others_394
395,Others_395
396,ST_396
397,General_397
398,Others_398
399,ST_399
400,SC_400
401,SC_401
402,ST_402
403,Others_403
404,OBC_404
405,SC_405
406,ST_406
407,SC_407
408,General_408
409,ST_409
410,SC_410
411,ST_411
412,General_412
413,ST_413
414,ST_414
415,ST_415
416,ST_416
417,Others_417
418,ST_418
419,ST_419
420,SC_420
421,General_421
422,General_422
423,ST_423
424,SC_424
425,OBC_425
426,Others_426
427,Others_427
428,SC_428
429,OBC_429
430,ST_430
431,SC_431
432,OBC_432
433,General_433
434,Others_434
435,Others_435
436,OBC_436
437,OBC_437
438,General_438
439,General_439
440,SC_440
441,SC_441
442,OBC_442
443,ST_443
444,General_444
445,Others_445
446,General_446
447,OBC_447
448,ST_448
