CSID,CaseMasterID,csdate,cstype,PolicePersonID
1,54871,2021-08-25 02:18:12,C,43030
2,10468,2019-09-25 16:08:41,A,24452
3,51425,2022-01-06 17:45:35,A,73331
4,60689,2020-07-14 14:46:15,C,35186
5,32640,2021-12-28 19:35:26,A,45950
6,95871,2024-09-25 08:47:49,A,8656
7,20460,2026-05-24 18:42:04,A,22985
8,94233,2022-08-02 04:50:48,A,8903
9,13562,2025-03-25 10:38:18,A,77626
10,25828,2023-09-12 21:20:14,A,78467
11,71965,2019-01-30 14:04:28,A,54041
12,56009,2026-04-26 06:29:31,A,73903
13,24379,2023-01-22 02:44:22,A,54088
14,15558,2019-07-20 12:15:16,A,23388
15,86987,2023-02-26 11:09:56,C,40076
16,88391,2022-03-14 05:15:35,A,67805
17,98607,2019-08-28 10:32:13,C,773
18,71453,2020-07-17 18:21:25,A,44351
19,90488,2024-05-02 17:52:43,C,77198
20,19517,2025-02-08 20:29:24,A,29992
21,19455,2026-08-19 11:40:59,A,44551
22,18494,2022-04-15 20:54:56,A,27964
23,32956,2020-11-19 16:18:47,A,20717
24,25526,2026-08-14 00:38:56,A,9095
25,2182,2021-01-25 06:20:17,A,58593
26,40222,2020-01-01 17:06:39,A,14326
27,49715,2018-04-15 07:55:23,A,53105
28,24122,2026-01-07 15:31:25,C,37957
29,5511,2021-05-25 01:37:13,C,75685
30,88790,2023-06-28 20:47:58,A,96380
31,31502,2019-10-04 09:55:14,A,20576
32,51446,2021-08-29 04:40:54,A,35726
33,1425,2019-02-13 12:04:07,C,71111
34,35324,2026-06-17 06:32:36,A,49475
35,15464,2024-07-02 03:37:23,A,50160
36,65934,2022-03-27 19:30:30,A,43996
37,69940,2022-11-09 05:46:33,A,66429
38,29243,2020-02-20 05:02:46,C,66249
39,87120,2020-05-30 12:20:24,B,90786
40,88145,2024-06-06 02:42:40,C,68115
41,1919,2022-05-16 21:32:57,A,99618
42,34233,2022-12-23 02:52:04,A,29626
43,30891,2024-12-14 16:00:12,A,40527
44,65125,2020-04-03 23:50:51,A,72329
45,5851,2024-09-29 16:04:10,A,18596
46,62546,2023-03-12 13:13:36,A,78638
47,37694,2022-08-27 22:41:01,C,76546
48,37576,2021-07-27 16:36:00,A,61530
49,8985,2023-03-15 01:08:51,A,67662
50,69307,2019-09-30 06:26:10,A,19648
51,2583,2024-03-04 12:32:27,A,13036
52,77165,2022-04-15 21:07:17,A,83237
53,37303,2025-11-06 00:43:10,A,30547
54,99915,2021-05-24 22:29:03,A,61989
55,2820,2019-01-18 18:22:38,C,43237
56,37898,2021-05-16 17:48:58,A,90082
57,85295,2026-08-17 11:29:23,A,96160
58,42842,2023-12-30 21:19:16,A,66957
59,68481,2024-03-06 10:23:51,C,10292
60,12545,2020-05-04 15:25:24,A,54878
61,71798,2018-12-16 20:37:55,B,76853
62,67653,2020-05-09 22:07:03,A,86258
63,76339,2025-05-10 11:21:18,A,93849
64,93626,2023-12-26 13:47:11,A,45299
65,73761,2018-06-24 14:33:52,C,70884
