CrimeHeadID,CrimeGroupName,Active
1,Crimes Against Society_1,True
2,Crimes Against Women_2,True
3,Crimes Against Property_3,True
4,Crimes Against Property_4,True
5,Economic Offences_5,True
6,Crimes Against Society_6,True
7,Crimes Against Body_7,True
8,Crimes Against Property_8,True
9,Crimes Against Body_9,True
10,Crimes Against Property_10,True
11,Economic Offences_11,True
12,Crimes Against Body_12,True
13,Economic Offences_13,True
14,Cyber Crimes_14,True
15,Crimes Against Society_15,True
16,Crimes Against Property_16,True
17,Crimes Against Property_17,True
18,Crimes Against Property_18,True
19,Crimes Against Society_19,True
20,Crimes Against Women_20,True
21,Cyber Crimes_21,True
22,Crimes Against Women_22,True
23,Crimes Against Society_23,True
24,Economic Offences_24,True
25,Economic Offences_25,True
26,Crimes Against Body_26,True
27,Crimes Against Women_27,True
28,Crimes Against Society_28,True
29,Cyber Crimes_29,True
30,Crimes Against Society_30,True
31,Cyber Crimes_31,True
32,Crimes Against Body_32,True
33,Cyber Crimes_33,True
34,Crimes Against Women_34,True
35,Crimes Against Property_35,True
36,Cyber Crimes_36,True
37,Crimes Against Property_37,True
38,Crimes Against Body_38,True
39,Cyber Crimes_39,True
40,Crimes Against Property_40,True
41,Crimes Against Property_41,True
42,Crimes Against Women_42,True
43,Crimes Against Property_43,True
44,Cyber Crimes_44,True
45,Crimes Against Body_45,True
46,Crimes Against Society_46,True
47,Cyber Crimes_47,False
48,Crimes Against Women_48,True
49,Crimes Against Women_49,False
50,Crimes Against Property_50,True
51,Crimes Against Women_51,True
52,Crimes Against Body_52,True
53,Crimes Against Society_53,True
54,Economic Offences_54,True
55,Crimes Against Body_55,True
56,Crimes Against Society_56,True
57,Cyber Crimes_57,True
58,Economic Offences_58,True
59,Crimes Against Body_59,True
60,Crimes Against Society_60,True
61,Economic Offences_61,True
62,Crimes Against Property_62,True
63,Economic Offences_63,True
64,Crimes Against Women_64,True
65,Crimes Against Women_65,False
66,Crimes Against Women_66,True
67,Crimes Against Body_67,True
68,Cyber Crimes_68,True
69,Crimes Against Body_69,True
70,Crimes Against Women_70,False
71,Crimes Against Women_71,True
72,Crimes Against Body_72,True
73,Cyber Crimes_73,True
74,Crimes Against Society_74,True
75,Crimes Against Body_75,True
76,Crimes Against Property_76,True
77,Crimes Against Women_77,True
78,Crimes Against Body_78,True
79,Crimes Against Property_79,True
80,Crimes Against Women_80,True
81,Crimes Against Body_81,True
82,Crimes Against Society_82,True
83,Cyber Crimes_83,True
84,Crimes Against Society_84,True
85,Crimes Against Property_85,True
86,Economic Offences_86,True
87,Cyber Crimes_87,True
88,Crimes Against Body_88,True
89,Crimes Against Women_89,True
90,Economic Offences_90,True
91,Crimes Against Society_91,True
92,Crimes Against Body_92,True
93,Crimes Against Women_93,True
94,Crimes Against Body_94,True
95,Crimes Against Property_95,True
96,Crimes Against Body_96,True
97,Economic Offences_97,True
