CrimeHeadID,ActCode,SectionCode
70496,A98104,1
71595,A84477,2
50201,A51184,3
33788,A2013,4
32366,A71152,5
82965,A48606,6
69696,A66181,7
52011,A7862,8
57745,A68424,9
75750,A84139,10
64235,A18017,11
53515,A65845,12
69912,A76087,13
35377,A53251,14
25763,A91133,15
12668,A78247,16
6285,A23346,17
66091,A20573,18
27882,A19970,19
39025,A45938,20
81125,A20726,21
99275,A61867,22
68008,A39234,23
23628,A4241,24
35293,A18596,25
16996,A2215,26
80444,A47007,27
84235,A55772,28
76909,A7492,29
36747,A96247,30
25597,A55798,31
60268,A381,32
3193,A79260,33
72821,A22462,34
64287,A57983,35
77305,A53153,36
1100,A72393,37
56977,A49773,38
45681,A30762,39
60272,A73276,40
58492,A53758,41
80424,A59036,42
61764,A45559,43
72061,A84372,44
58565,A91024,45
24368,A87389,46
59613,A86246,47
7687,A33586,48
44169,A98299,49
84883,A13304,50
46653,A85449,51
81575,A88449,52
90445,A79447,53
13392,A96172,54
93234,A67199,55
33878,A10920,56
5559,A59039,57
34955,A24071,58
4936,A60862,59
26734,A15673,60
85544,A94365,61
28414,A98608,62
54419,A80997,63
48176,A87285,64
33859,A60922,65
24408,A27199,66
29153,A30926,67
56388,A21941,68
8670,A85362,69
80902,A7699,70
73158,A79074,71
36910,A85489,72
49406,A25167,73
32888,A3274,74
22169,A87288,75
56959,A88462,76
86943,A88189,77
45099,A96997,78
86051,A72933,79
86246,A88205,80
75497,A87776,81
72361,A57182,82
72284,A87628,83
18892,A42581,84
49425,A17533,85
16278,A80955,86
13486,A68223,87
74607,A93964,88
91851,A57259,89
97217,A7286,90
72070,A46504,91
29462,A78594,92
46691,A57642,93
7306,A15038,94
86844,A88034,95
47026,A95857,96
24426,A76688,97
81176,A28033,98
27604,A96259,99
67568,A59214,100
4409,A90358,101
19731,A27472,102
81046,A39831,103
65,A48469,104
15485,A38741,105
10628,A70553,106
46547,A22362,107
39943,A77423,108
19092,A47313,109
47791,A84027,110
36387,A9105,111
18314,A13070,112
66925,A83936,113
97007,A88938,114
48424,A66924,115
91064,A53796,116
46859,A311,117
75049,A25385,118
16892,A47194,119
56009,A89177,120
20742,A94214,121
21874,A61773,122
81424,A49508,123
96235,A57202,124
60436,A14332,125
1403,A91361,126
60273,A86943,127
66816,A10644,128
56006,A62274,129
35540,A82967,130
28827,A21307,131
72907,A87630,132
71769,A90837,133
15791,A33098,134
64285,A93681,135
54498,A64892,136
33280,A18043,137
82204,A99751,138
93590,A48691,139
82442,A43286,140
51879,A89769,141
94581,A30531,142
11119,A27897,143
81506,A73871,144
70368,A50776,145
15714,A38203,146
36710,A39652,147
31983,A23939,148
30087,A44494,149
7576,A28400,150
60101,A99447,151
99344,A93172,152
48111,A97511,153
89623,A54124,154
8237,A66953,155
89075,A89177,156
91107,A56476,157
19673,A8296,158
7888,A84292,159
59386,A61553,160
25586,A45107,161
91740,A25928,162
69217,A40671,163
14112,A5257,164
75471,A49637,165
20019,A51187,166
89872,A64225,167
58705,A97346,168
21018,A53280,169
26094,A19527,170
75953,A79753,171
72178,A26398,172
62140,A45043,173
84533,A27817,174
53178,A99449,175
3811,A39355,176
10022,A71610,177
19129,A88375,178
72156,A78680,179
85613,A21114,180
28985,A38081,181
89678,A9492,182
85512,A14749,183
94337,A49912,184
84591,A97344,185
18135,A59020,186
43182,A99131,187
2758,A41597,188
48050,A89942,189
45039,A94356,190
17233,A57214,191
86940,A47913,192
88783,A302,193
1048,A51995,194
60114,A10229,195
27379,A397,196
6383,A22864,197
43935,A52214,198
36922,A83605,199
67545,A81524,200
59426,A21285,201
69677,A60348,202
96682,A88749,203
96313,A20907,204
7769,A29643,205
84375,A45279,206
8810,A28209,207
74576,A11514,208
49488,A47095,209
41021,A36146,210
42153,A64008,211
45809,A36342,212
31528,A16457,213
25466,A63601,214
17503,A40768,215
71387,A58837,216
69313,A66389,217
35529,A34110,218
36039,A38484,219
91761,A93771,220
27141,A6762,221
25171,A63640,222
79104,A29575,223
24521,A37248,224
98421,A95717,225
47108,A88515,226
