CrimeSubHeadID,CrimeHeadID,CrimeHeadName,SeqID
1,38331,Kidnapping_1,6
2,84541,Theft_2,47
3,84632,Theft_3,23
4,31085,Hacking_4,17
5,91727,Grievous Hurt_5,22
6,59138,Hacking_6,39
7,53311,Grievous Hurt_7,6
8,25344,Rape_8,14
9,1567,Rape_9,34
10,88382,Grievous Hurt_10,24
11,75034,Theft_11,40
12,80185,Dacoity_12,31
13,51919,Theft_13,27
14,57218,Kidnapping_14,6
15,96053,Extortion_15,34
16,74360,Grievous Hurt_16,44
17,35196,Robbery_17,44
18,55946,Extortion_18,22
19,95649,Robbery_19,8
20,23976,Extortion_20,15
21,8464,Hacking_21,15
22,83213,Hacking_22,26
23,93561,Theft_23,42
24,30291,Cheating & Forgery_24,19
25,34074,Dacoity_25,34
26,73992,Robbery_26,48
27,60610,Dacoity_27,2
28,1230,Rape_28,43
29,67375,Grievous Hurt_29,42
30,90552,Theft_30,32
31,6770,Theft_31,26
32,85519,Theft_32,30
33,89717,Dacoity_33,45
34,57060,Hacking_34,19
35,93357,Cheating & Forgery_35,37
36,66753,Kidnapping_36,17
37,66517,Murder_37,5
38,49990,Dacoity_38,8
39,58558,Dacoity_39,44
40,78623,Kidnapping_40,29
41,10497,Robbery_41,22
42,52365,Murder_42,15
43,54366,Dacoity_43,28
44,4657,Murder_44,24
45,17536,Extortion_45,43
46,41359,Robbery_46,7
47,82994,Murder_47,40
48,96167,Robbery_48,24
49,64226,Hacking_49,24
50,14375,Theft_50,26
51,12949,Grievous Hurt_51,41
52,34043,Murder_52,38
53,64860,Robbery_53,38
54,29917,Extortion_54,36
55,94335,Murder_55,3
56,32192,Theft_56,9
57,56211,Cheating & Forgery_57,31
58,43473,Cheating & Forgery_58,47
59,26329,Robbery_59,42
60,99749,Theft_60,16
61,21896,Dacoity_61,18
62,66867,Robbery_62,28
63,51661,Robbery_63,13
64,51102,Hacking_64,15
65,91921,Extortion_65,29
66,57907,Robbery_66,26
67,39439,Grievous Hurt_67,40
68,15704,Extortion_68,3
69,46720,Murder_69,3
70,60961,Hacking_70,13
71,73639,Rape_71,12
72,25762,Cheating & Forgery_72,23
73,93985,Extortion_73,13
74,44801,Extortion_74,27
75,11218,Rape_75,23
76,13355,Hacking_76,32
77,36901,Dacoity_77,46
78,64601,Murder_78,40
79,10332,Hacking_79,48
80,73829,Dacoity_80,36
81,9435,Hacking_81,31
82,18249,Kidnapping_82,35
83,16141,Murder_83,36
84,49842,Grievous Hurt_84,34
85,53803,Theft_85,37
86,93140,Extortion_86,41
87,96667,Robbery_87,20
88,87339,Grievous Hurt_88,32
89,41965,Robbery_89,33
90,92095,Cheating & Forgery_90,45
91,64923,Cheating & Forgery_91,8
92,47133,Grievous Hurt_92,11
93,49893,Cheating & Forgery_93,21
94,41172,Theft_94,5
95,93028,Murder_95,12
96,28000,Kidnapping_96,9
97,31835,Hacking_97,36
98,3650,Dacoity_98,28
99,77547,Cheating & Forgery_99,5
100,63075,Dacoity_100,46
101,24974,Dacoity_101,39
102,18945,Murder_102,41
103,27118,Theft_103,24
104,71961,Kidnapping_104,46
105,53123,Rape_105,27
106,37887,Theft_106,23
107,90121,Rape_107,19
108,92082,Hacking_108,27
109,41096,Cheating & Forgery_109,2
110,20064,Grievous Hurt_110,32
111,75517,Theft_111,22
112,6045,Grievous Hurt_112,8
113,1909,Hacking_113,45
114,90284,Kidnapping_114,47
115,12256,Dacoity_115,31
116,21081,Rape_116,20
117,67034,Cheating & Forgery_117,39
118,60758,Kidnapping_118,46
119,97981,Dacoity_119,1
120,13452,Rape_120,35
