GravityOffenceID,LookupValue
1,Non-Heinous
2,Heinous
3,Heinous
4,Non-Heinous
5,Non-Heinous
6,Non-Heinous
7,Heinous
8,Non-Heinous
9,Heinous
10,Heinous
11,Heinous
12,Heinous
13,Non-Heinous
14,Non-Heinous
15,Non-Heinous
16,Heinous
17,Non-Heinous
18,Non-Heinous
19,Non-Heinous
20,Heinous
21,Heinous
22,Non-Heinous
23,Non-Heinous
24,Heinous
25,Non-Heinous
26,Heinous
27,Heinous
28,Heinous
29,Non-Heinous
30,Non-Heinous
31,Non-Heinous
32,Non-Heinous
33,Non-Heinous
34,Heinous
35,Non-Heinous
36,Non-Heinous
37,Heinous
38,Non-Heinous
39,Heinous
40,Non-Heinous
41,Non-Heinous
42,Heinous
43,Heinous
44,Heinous
45,Heinous
46,Heinous
47,Heinous
48,Non-Heinous
49,Non-Heinous
50,Non-Heinous
51,Non-Heinous
52,Heinous
53,Non-Heinous
54,Heinous
55,Non-Heinous
56,Non-Heinous
57,Non-Heinous
58,Heinous
59,Heinous
60,Heinous
61,Non-Heinous
62,Heinous
63,Non-Heinous
64,Non-Heinous
65,Non-Heinous
66,Heinous
67,Non-Heinous
68,Non-Heinous
69,Heinous
70,Heinous
71,Non-Heinous
72,Heinous
73,Non-Heinous
74,Heinous
75,Heinous
76,Non-Heinous
77,Non-Heinous
78,Heinous
79,Non-Heinous
80,Non-Heinous
81,Heinous
82,Non-Heinous
83,Heinous
84,Non-Heinous
85,Non-Heinous
86,Non-Heinous
87,Heinous
88,Non-Heinous
89,Non-Heinous
90,Non-Heinous
91,Heinous
92,Heinous
93,Non-Heinous
94,Non-Heinous
95,Non-Heinous
96,Non-Heinous
97,Heinous
98,Heinous
99,Non-Heinous
100,Heinous
101,Heinous
102,Heinous
103,Non-Heinous
104,Heinous
105,Non-Heinous
106,Non-Heinous
107,Non-Heinous
108,Heinous
109,Heinous
110,Non-Heinous
111,Heinous
112,Non-Heinous
113,Heinous
114,Non-Heinous
115,Non-Heinous
116,Non-Heinous
117,Heinous
118,Heinous
119,Heinous
120,Heinous
121,Non-Heinous
122,Non-Heinous
123,Non-Heinous
124,Heinous
125,Non-Heinous
126,Non-Heinous
127,Heinous
128,Non-Heinous
129,Heinous
130,Heinous
131,Heinous
132,Heinous
133,Heinous
134,Heinous
135,Heinous
136,Heinous
137,Heinous
138,Non-Heinous
139,Heinous
140,Non-Heinous
141,Heinous
142,Non-Heinous
143,Non-Heinous
144,Heinous
145,Non-Heinous
146,Heinous
147,Non-Heinous
148,Non-Heinous
149,Heinous
150,Non-Heinous
151,Non-Heinous
152,Heinous
153,Heinous
154,Non-Heinous
155,Heinous
156,Non-Heinous
157,Non-Heinous
158,Heinous
159,Heinous
160,Heinous
161,Heinous
162,Heinous
163,Heinous
164,Non-Heinous
165,Non-Heinous
166,Heinous
167,Non-Heinous
168,Non-Heinous
169,Heinous
170,Non-Heinous
171,Non-Heinous
172,Non-Heinous
173,Non-Heinous
174,Heinous
175,Heinous
176,Non-Heinous
177,Heinous
178,Non-Heinous
179,Heinous
180,Heinous
181,Non-Heinous
182,Non-Heinous
183,Heinous
184,Heinous
185,Heinous
186,Non-Heinous
187,Non-Heinous
188,Non-Heinous
189,Heinous
190,Heinous
191,Heinous
192,Heinous
193,Heinous
194,Heinous
195,Non-Heinous
196,Non-Heinous
197,Non-Heinous
198,Heinous
199,Heinous
200,Heinous
201,Non-Heinous
202,Heinous
203,Non-Heinous
204,Heinous
205,Heinous
206,Non-Heinous
207,Non-Heinous
208,Heinous
209,Heinous
210,Non-Heinous
211,Heinous
212,Heinous
213,Heinous
214,Non-Heinous
215,Heinous
216,Heinous
217,Heinous
218,Heinous
219,Non-Heinous
220,Heinous
221,Heinous
222,Heinous
223,Heinous
224,Non-Heinous
225,Heinous
226,Heinous
227,Heinous
