OccupationID,OccupationName
1,Homemaker_1
2,Government Employee_2
3,Business_3
4,Private Employee_4
5,Government Employee_5
6,Business_6
7,Private Employee_7
8,Student_8
9,Government Employee_9
10,Farmer_10
11,Government Employee_11
12,Student_12
13,Private Employee_13
14,Unemployed_14
15,Homemaker_15
16,Student_16
17,Unemployed_17
18,Unemployed_18
19,Government Employee_19
20,Government Employee_20
21,Unemployed_21
22,Student_22
23,Homemaker_23
24,Unemployed_24
25,Unemployed_25
26,Unemployed_26
27,Government Employee_27
28,Private Employee_28
29,Unemployed_29
30,Student_30
31,Student_31
32,Unemployed_32
33,Unemployed_33
34,Farmer_34
35,Student_35
36,Business_36
37,Government Employee_37
38,Private Employee_38
39,Unemployed_39
40,Private Employee_40
41,Homemaker_41
42,Farmer_42
43,Business_43
44,Business_44
45,Homemaker_45
46,Homemaker_46
47,Unemployed_47
48,Private Employee_48
49,Homemaker_49
50,Farmer_50
51,Student_51
52,Student_52
53,Student_53
54,Farmer_54
55,Business_55
56,Private Employee_56
57,Student_57
58,Private Employee_58
59,Private Employee_59
60,Unemployed_60
61,Unemployed_61
62,Farmer_62
63,Farmer_63
64,Government Employee_64
65,Homemaker_65
66,Farmer_66
67,Farmer_67
68,Government Employee_68
69,Private Employee_69
70,Private Employee_70
71,Homemaker_71
72,Private Employee_72
73,Private Employee_73
74,Farmer_74
75,Business_75
76,Homemaker_76
77,Unemployed_77
78,Homemaker_78
79,Student_79
80,Private Employee_80
81,Homemaker_81
82,Student_82
83,Business_83
84,Government Employee_84
85,Farmer_85
86,Business_86
87,Farmer_87
88,Farmer_88
89,Unemployed_89
90,Student_90
91,Private Employee_91
92,Government Employee_92
93,Homemaker_93
94,Government Employee_94
95,Homemaker_95
96,Unemployed_96
97,Business_97
98,Student_98
99,Business_99
100,Business_100
101,Private Employee_101
102,Business_102
103,Government Employee_103
104,Government Employee_104
105,Business_105
106,Private Employee_106
107,Government Employee_107
108,Government Employee_108
109,Homemaker_109
110,Farmer_110
111,Private Employee_111
112,Private Employee_112
113,Unemployed_113
114,Government Employee_114
115,Unemployed_115
116,Business_116
117,Government Employee_117
118,Government Employee_118
119,Farmer_119
120,Unemployed_120
121,Homemaker_121
122,Private Employee_122
123,Unemployed_123
124,Homemaker_124
125,Unemployed_125
126,Government Employee_126
127,Unemployed_127
128,Homemaker_128
129,Student_129
130,Private Employee_130
131,Farmer_131
132,Business_132
133,Unemployed_133
134,Homemaker_134
135,Private Employee_135
136,Business_136
137,Homemaker_137
138,Business_138
139,Unemployed_139
140,Unemployed_140
141,Homemaker_141
142,Unemployed_142
143,Farmer_143
144,Private Employee_144
145,Student_145
146,Private Employee_146
147,Unemployed_147
148,Government Employee_148
149,Student_149
150,Unemployed_150
151,Business_151
152,Business_152
153,Business_153
154,Student_154
155,Student_155
156,Business_156
157,Student_157
158,Private Employee_158
159,Farmer_159
160,Business_160
161,Farmer_161
162,Government Employee_162
163,Unemployed_163
164,Homemaker_164
165,Unemployed_165
