RankID,RankName,Hierarchy,Active
1,ASI_1,8,True
2,ADGP_2,1,True
3,ADGP_3,4,True
4,SP_4,4,True
5,DSP_5,7,True
6,SI_6,1,True
7,SP_7,8,True
8,Inspector_8,6,False
9,SI_9,1,True
10,DIG_10,8,True
11,DSP_11,4,True
12,Head Constable_12,7,True
13,DSP_13,4,True
14,ADGP_14,9,True
15,ADGP_15,9,True
16,DSP_16,8,True
17,Constable_17,7,False
18,DIG_18,3,True
19,SP_19,5,True
20,ASI_20,2,True
21,Inspector_21,7,True
22,ASI_22,3,True
23,ADGP_23,5,True
24,SP_24,8,True
25,Inspector_25,3,True
26,SI_26,6,True
27,Constable_27,5,True
28,SP_28,7,False
29,DIG_29,9,True
30,DSP_30,7,True
31,IG_31,6,True
32,SI_32,7,True
33,Head Constable_33,4,True
34,ADGP_34,9,True
35,Constable_35,2,True
36,SP_36,4,True
37,Inspector_37,9,True
38,SP_38,8,True
39,Head Constable_39,2,True
40,Head Constable_40,8,True
41,SP_41,9,True
42,SP_42,3,True
43,ADGP_43,7,False
44,DSP_44,1,False
45,DIG_45,2,True
46,Head Constable_46,5,True
47,Constable_47,5,True
48,ADGP_48,5,True
49,Head Constable_49,9,True
50,ADGP_50,9,True
51,ADGP_51,2,True
52,SP_52,2,True
53,Inspector_53,8,True
54,DIG_54,6,True
55,SP_55,5,True
56,DIG_56,8,True
57,IG_57,5,True
58,ADGP_58,6,True
59,ADGP_59,5,True
60,Head Constable_60,7,True
61,IG_61,8,True
62,SI_62,5,True
63,SI_63,6,True
64,Head Constable_64,1,True
65,ADGP_65,3,True
66,Head Constable_66,3,True
67,DSP_67,9,True
68,IG_68,2,True
69,Head Constable_69,2,True
70,ADGP_70,6,True
71,SP_71,7,True
72,Head Constable_72,6,True
73,Head Constable_73,1,True
74,Head Constable_74,3,True
75,Head Constable_75,6,True
76,ADGP_76,3,True
77,IG_77,2,True
78,DIG_78,2,True
79,ASI_79,9,True
80,ASI_80,2,True
81,SP_81,2,True
82,Inspector_82,2,True
83,SP_83,5,True
84,ADGP_84,5,True
85,SI_85,3,True
86,Constable_86,8,True
87,Constable_87,7,True
88,Inspector_88,5,True
89,ASI_89,6,False
90,ASI_90,6,True
91,DIG_91,6,True
92,SP_92,2,False
93,Head Constable_93,2,True
94,ASI_94,6,True
95,IG_95,3,True
96,SP_96,2,True
97,SI_97,1,True
98,Inspector_98,2,True
99,IG_99,5,True
100,DIG_100,4,True
101,Constable_101,5,True
102,IG_102,3,True
103,Head Constable_103,1,True
104,DIG_104,3,True
105,ADGP_105,3,True
106,SP_106,4,True
107,DIG_107,1,True
108,Constable_108,7,True
109,Head Constable_109,8,True
110,Constable_110,8,True
111,Head Constable_111,8,True
112,Inspector_112,6,True
113,IG_113,4,True
114,IG_114,2,True
115,ASI_115,3,True
116,IG_116,2,True
117,IG_117,7,True
118,SI_118,6,True
119,Constable_119,6,True
120,ASI_120,1,True
121,Head Constable_121,9,True
122,ASI_122,1,True
123,Head Constable_123,5,True
124,Inspector_124,7,True
125,ASI_125,4,False
126,SP_126,4,True
127,SI_127,4,True
128,Inspector_128,7,True
129,Head Constable_129,8,True
130,ADGP_130,2,True
131,Inspector_131,6,False
132,IG_132,9,False
133,Constable_133,5,False
134,SP_134,7,True
135,Head Constable_135,3,True
136,Head Constable_136,7,True
137,DIG_137,1,True
138,DIG_138,4,True
139,SP_139,8,True
140,IG_140,2,False
141,ASI_141,8,True
142,IG_142,4,True
143,IG_143,4,True
144,Head Constable_144,7,True
145,SI_145,9,True
146,IG_146,7,True
147,Constable_147,4,True
148,SI_148,7,True
149,IG_149,7,True
150,IG_150,2,True
151,SP_151,6,False
152,IG_152,1,True
153,ADGP_153,1,True
154,DIG_154,1,True
155,IG_155,3,True
156,Inspector_156,8,True
157,SP_157,3,True
158,SP_158,2,True
159,Head Constable_159,8,True
160,DSP_160,7,True
161,Inspector_161,1,True
162,DSP_162,5,True
163,Constable_163,1,True
164,ADGP_164,3,True
165,DSP_165,9,True
166,Constable_166,1,True
167,Constable_167,6,True
168,Inspector_168,1,True
169,ADGP_169,4,True
170,Head Constable_170,5,True
171,ASI_171,6,True
172,Constable_172,8,False
173,SP_173,4,True
174,Inspector_174,3,True
175,ASI_175,3,True
176,ADGP_176,9,True
177,Head Constable_177,2,True
178,SI_178,5,True
179,ASI_179,7,True
180,Inspector_180,6,False
181,DSP_181,1,True
182,DIG_182,5,True
183,SI_183,4,True
184,DSP_184,9,True
185,ASI_185,7,True
186,ADGP_186,3,True
187,SI_187,3,True
188,Head Constable_188,1,True
189,SP_189,8,True
190,SP_190,3,True
191,SP_191,2,True
192,ASI_192,3,False
193,DSP_193,1,True
194,ADGP_194,1,True
195,SP_195,2,True
196,Inspector_196,6,True
197,Head Constable_197,1,True
198,ADGP_198,6,True
199,DSP_199,4,False
200,Inspector_200,1,True
201,Constable_201,4,True
202,SI_202,4,True
203,Inspector_203,1,False
204,Constable_204,4,True
205,Constable_205,1,True
206,Head Constable_206,6,True
207,Head Constable_207,3,True
208,Head Constable_208,8,True
209,SP_209,8,False
210,Head Constable_210,3,True
211,DSP_211,8,True
212,DSP_212,8,True
213,IG_213,3,True
214,Inspector_214,4,True
215,Head Constable_215,1,True
216,ADGP_216,4,True
217,DIG_217,5,True
218,Head Constable_218,5,True
219,SI_219,6,True
220,SI_220,3,True
221,SP_221,6,True
222,SP_222,5,True
223,ASI_223,4,True
224,Inspector_224,2,False
225,IG_225,8,True
226,SI_226,4,True
227,DIG_227,7,True
