ReligionID,ReligionName
1,Buddhist_1
2,Sikh_2
3,Jain_3
4,Jain_4
5,Hindu_5
6,Christian_6
7,Buddhist_7
8,Sikh_8
9,Sikh_9
10,Christian_10
11,Others_11
12,Sikh_12
13,Jain_13
14,Christian_14
15,Buddhist_15
16,Jain_16
17,Muslim_17
18,Buddhist_18
19,Hindu_19
20,Others_20
21,Sikh_21
22,Muslim_22
23,Others_23
24,Others_24
25,Muslim_25
26,Buddhist_26
27,Muslim_27
28,Jain_28
29,Others_29
30,Buddhist_30
31,Muslim_31
32,Sikh_32
33,Muslim_33
34,Hindu_34
35,Jain_35
36,Others_36
37,Sikh_37
38,Buddhist_38
39,Buddhist_39
40,Jain_40
41,Muslim_41
42,Buddhist_42
43,Hindu_43
44,Others_44
45,Jain_45
46,Buddhist_46
47,Others_47
48,Jain_48
49,Christian_49
50,Buddhist_50
51,Jain_51
52,Others_52
53,Hindu_53
54,Hindu_54
55,Muslim_55
56,Christian_56
57,Others_57
58,Others_58
59,Buddhist_59
60,Hindu_60
61,Jain_61
62,Hindu_62
63,Christian_63
64,Hindu_64
65,Buddhist_65
66,Christian_66
67,Hindu_67
68,Hindu_68
69,Muslim_69
70,Others_70
71,Jain_71
72,Sikh_72
73,Hindu_73
74,Others_74
75,Others_75
76,Others_76
77,Others_77
78,Others_78
79,Others_79
80,Muslim_80
81,Christian_81
82,Hindu_82
83,Jain_83
84,Others_84
85,Jain_85
86,Christian_86
87,Muslim_87
88,Muslim_88
89,Jain_89
90,Others_90
91,Hindu_91
92,Jain_92
93,Sikh_93
94,Muslim_94
95,Hindu_95
96,Christian_96
97,Buddhist_97
98,Sikh_98
99,Sikh_99
100,Sikh_100
101,Sikh_101
102,Muslim_102
103,Muslim_103
104,Christian_104
105,Buddhist_105
106,Christian_106
107,Buddhist_107
108,Buddhist_108
109,Muslim_109
110,Jain_110
111,Muslim_111
112,Others_112
113,Hindu_113
114,Jain_114
115,Jain_115
116,Buddhist_116
117,Jain_117
118,Others_118
119,Muslim_119
120,Buddhist_120
121,Christian_121
122,Sikh_122
123,Buddhist_123
124,Others_124
125,Buddhist_125
126,Others_126
127,Sikh_127
128,Hindu_128
129,Jain_129
130,Hindu_130
131,Sikh_131
132,Jain_132
133,Others_133
134,Christian_134
135,Others_135
136,Hindu_136
137,Buddhist_137
138,Others_138
139,Muslim_139
140,Christian_140
141,Muslim_141
142,Hindu_142
143,Jain_143
144,Muslim_144
145,Jain_145
146,Jain_146
147,Jain_147
148,Hindu_148
149,Hindu_149
150,Muslim_150
151,Buddhist_151
152,Jain_152
153,Hindu_153
154,Jain_154
155,Jain_155
156,Sikh_156
157,Christian_157
158,Hindu_158
159,Christian_159
160,Buddhist_160
161,Hindu_161
162,Sikh_162
163,Buddhist_163
164,Others_164
165,Muslim_165
166,Sikh_166
167,Christian_167
168,Christian_168
169,Sikh_169
170,Sikh_170
171,Buddhist_171
172,Hindu_172
173,Buddhist_173
174,Muslim_174
175,Jain_175
176,Christian_176
177,Muslim_177
178,Muslim_178
179,Others_179
180,Buddhist_180
181,Others_181
182,Jain_182
183,Hindu_183
184,Sikh_184
185,Hindu_185
186,Buddhist_186
187,Christian_187
188,Muslim_188
189,Muslim_189
190,Hindu_190
191,Others_191
192,Christian_192
193,Others_193
194,Hindu_194
195,Muslim_195
196,Christian_196
197,Others_197
198,Buddhist_198
199,Muslim_199
200,Sikh_200
201,Others_201
202,Muslim_202
203,Others_203
204,Jain_204
205,Hindu_205
206,Muslim_206
207,Hindu_207
208,Hindu_208
209,Sikh_209
210,Jain_210
211,Muslim_211
212,Sikh_212
213,Others_213
214,Muslim_214
215,Christian_215
216,Christian_216
217,Sikh_217
218,Muslim_218
219,Muslim_219
220,Muslim_220
221,Muslim_221
222,Hindu_222
223,Sikh_223
224,Christian_224
225,Muslim_225
226,Sikh_226
227,Christian_227
228,Jain_228
229,Buddhist_229
230,Hindu_230
231,Hindu_231
232,Jain_232
233,Christian_233
234,Muslim_234
235,Buddhist_235
236,Others_236
237,Jain_237
238,Others_238
239,Muslim_239
240,Others_240
241,Others_241
242,Others_242
243,Jain_243
244,Christian_244
245,Others_245
246,Jain_246
247,Buddhist_247
248,Sikh_248
249,Sikh_249
250,Sikh_250
251,Jain_251
252,Sikh_252
253,Christian_253
254,Sikh_254
255,Muslim_255
256,Hindu_256
257,Buddhist_257
258,Christian_258
259,Christian_259
260,Christian_260
261,Buddhist_261
262,Muslim_262
263,Hindu_263
264,Jain_264
265,Buddhist_265
266,Buddhist_266
267,Buddhist_267
268,Hindu_268
269,Sikh_269
270,Jain_270
271,Others_271
272,Sikh_272
