UnitTypeID,UnitTypeName,CityDistState,Hierarchy,Active
1,UnitType_1,District,6,True
2,UnitType_2,City,4,True
3,UnitType_3,State,9,False
4,UnitType_4,City,2,True
5,UnitType_5,City,2,True
6,UnitType_6,District,4,True
7,UnitType_7,City,9,True
8,UnitType_8,District,8,True
9,UnitType_9,District,1,True
10,UnitType_10,District,3,True
11,UnitType_11,State,7,True
12,UnitType_12,State,7,True
13,UnitType_13,City,5,True
14,UnitType_14,City,5,True
15,UnitType_15,City,8,True
16,UnitType_16,District,6,True
17,UnitType_17,District,2,True
18,UnitType_18,State,9,True
19,UnitType_19,City,7,True
20,UnitType_20,City,9,True
21,UnitType_21,City,7,True
22,UnitType_22,State,5,True
23,UnitType_23,City,5,True
24,UnitType_24,City,7,True
25,UnitType_25,City,9,True
26,UnitType_26,City,6,False
27,UnitType_27,City,4,True
28,UnitType_28,City,3,True
29,UnitType_29,State,6,True
30,UnitType_30,City,7,True
31,UnitType_31,City,7,False
32,UnitType_32,State,5,True
33,UnitType_33,District,7,True
34,UnitType_34,District,7,True
35,UnitType_35,District,7,True
36,UnitType_36,City,6,True
37,UnitType_37,State,2,True
38,UnitType_38,State,3,True
39,UnitType_39,District,9,True
40,UnitType_40,District,4,True
41,UnitType_41,District,3,True
42,UnitType_42,State,4,True
43,UnitType_43,State,7,True
44,UnitType_44,City,1,True
45,UnitType_45,City,2,False
46,UnitType_46,District,8,True
47,UnitType_47,State,7,True
48,UnitType_48,City,9,True
49,UnitType_49,State,8,True
50,UnitType_50,District,3,True
51,UnitType_51,City,9,False
52,UnitType_52,District,4,True
53,UnitType_53,District,7,True
54,UnitType_54,District,2,True
55,UnitType_55,District,4,True
56,UnitType_56,District,5,True
57,UnitType_57,City,9,True
58,UnitType_58,City,4,True
59,UnitType_59,City,6,True
60,UnitType_60,City,7,True
61,UnitType_61,State,2,True
62,UnitType_62,State,3,True
63,UnitType_63,District,8,True
64,UnitType_64,State,4,True
65,UnitType_65,City,5,True
66,UnitType_66,District,1,True
67,UnitType_67,City,3,True
68,UnitType_68,City,8,True
69,UnitType_69,District,2,True
70,UnitType_70,City,1,True
71,UnitType_71,District,7,True
72,UnitType_72,City,9,True
73,UnitType_73,State,1,True
74,UnitType_74,District,8,True
75,UnitType_75,State,3,True
76,UnitType_76,District,5,True
77,UnitType_77,City,6,True
78,UnitType_78,District,6,True
79,UnitType_79,City,3,True
80,UnitType_80,State,1,True
81,UnitType_81,City,9,True
82,UnitType_82,State,9,True
83,UnitType_83,State,6,True
84,UnitType_84,City,2,True
85,UnitType_85,State,5,True
86,UnitType_86,State,3,True
87,UnitType_87,State,2,True
88,UnitType_88,City,5,True
89,UnitType_89,State,6,True
90,UnitType_90,City,8,True
91,UnitType_91,City,5,True
92,UnitType_92,District,5,True
93,UnitType_93,City,7,True
94,UnitType_94,State,6,True
95,UnitType_95,State,7,True
96,UnitType_96,District,1,True
97,UnitType_97,District,7,True
98,UnitType_98,State,9,True
99,UnitType_99,City,8,True
100,UnitType_100,City,5,True
101,UnitType_101,City,1,True
102,UnitType_102,District,9,True
103,UnitType_103,District,2,True
104,UnitType_104,City,7,True
105,UnitType_105,State,7,True
106,UnitType_106,District,8,True
107,UnitType_107,State,4,True
108,UnitType_108,State,4,True
109,UnitType_109,District,4,True
110,UnitType_110,District,1,True
111,UnitType_111,State,1,True
112,UnitType_112,District,8,True
113,UnitType_113,City,2,True
114,UnitType_114,District,5,True
115,UnitType_115,State,8,True
116,UnitType_116,State,9,True
117,UnitType_117,City,9,True
118,UnitType_118,State,4,True
119,UnitType_119,State,9,True
120,UnitType_120,City,3,True
121,UnitType_121,City,3,True
122,UnitType_122,District,4,True
123,UnitType_123,State,2,True
124,UnitType_124,District,1,True
125,UnitType_125,City,9,True
126,UnitType_126,City,1,True
127,UnitType_127,District,7,True
128,UnitType_128,State,3,True
129,UnitType_129,District,7,True
130,UnitType_130,City,1,True
131,UnitType_131,District,2,True
132,UnitType_132,City,5,True
133,UnitType_133,City,5,True
134,UnitType_134,District,7,True
135,UnitType_135,City,1,True
136,UnitType_136,District,7,True
137,UnitType_137,District,8,True
