ID,ArrestSurrenderID,AccusedMasterID
1,54434,97519
2,93484,54319
3,15785,72863
4,42234,85119
5,17118,62226
6,79894,56041
7,44979,58204
8,81799,61504
9,30985,36493
10,99458,77318
11,23613,15803
12,72604,80623
13,14213,48395
14,54501,99478
15,64128,57749
16,13328,91473
17,23645,49196
18,71944,89225
19,21231,8504
20,29945,49681
21,61950,30080
22,61905,78877
23,87856,78840
24,73522,7211
25,45584,15787
26,58622,53172
27,30160,59644
28,5163,43999
29,63948,12095
30,58789,48298
31,18548,42618
32,79334,61435
33,43251,26147
34,38365,3027
35,431,19570
36,64174,84072
37,16742,16381
38,30414,36566
39,18197,20669
40,38828,52050
41,41720,6568
42,43505,61523
43,63224,80203
44,6219,14993
45,47511,90228
46,13047,40716
47,3457,1251
48,47801,28248
49,32276,71691
50,71022,53377
51,57233,17577
52,33110,88520
53,55771,23082
54,27155,49352
55,24310,20283
56,23600,81489
57,60044,61375
58,96111,94367
59,46412,53649
60,89243,99125
61,49769,92966
62,89637,48638
63,96122,62469
64,14006,76910
65,65554,64844
66,40454,60750
67,54811,96241
68,67965,32548
69,99305,43039
70,65866,79105
71,58028,42390
72,45492,90300
73,91027,71388
74,89971,5562
75,54287,22967
76,98760,3727
77,95646,51082
78,82907,17850
79,19556,98316
80,20747,29375
81,44859,8359
82,51786,6809
83,6797,2764
84,19832,69060
85,3388,93488
86,98248,19426
87,80203,61706
88,97725,62094
89,59755,38008
90,96971,27719
91,54455,84423
92,50748,88940
93,89988,37170
94,36237,55768
95,6427,38618
96,68392,54426
97,91710,97807
98,99831,96054
99,67410,31238
100,48181,27360
101,16962,98801
102,92223,56225
103,49934,12393
104,68973,70988
105,55089,51659
106,30205,49468
107,78107,93067
108,28566,15443
109,49540,4121
110,24856,4739
111,57875,47379
112,1544,51920
113,9520,15717
114,44872,65814
115,7356,17409
116,49294,4515
117,87984,93915
118,9566,82779
119,95540,16657
120,62809,18221
121,90800,51604
122,31177,28044
123,68379,76592
124,5295,37756
125,1112,3362
126,81133,30531
127,2599,95491
128,95515,42207
129,27470,86187
130,8157,1086
131,70962,18398
132,86512,64949
133,25464,91693
134,50021,33310
135,87070,73818
136,25017,98681
137,33915,21571
138,40252,1397
139,30018,23860
140,12156,48625
141,29175,45121
142,3296,87447
143,85162,12869
144,40307,19398
145,4503,17408
146,28394,33765
147,91825,42007
148,24631,1381
149,2878,11861
150,47159,98719
151,47650,84239
152,88706,10461
153,3317,40677
154,18234,27587
155,15009,50244
156,6227,91052
157,87552,57940
158,97384,91030
159,61346,5211
160,42251,80317
161,42372,32371
162,14164,87369
163,48776,13653
164,45076,91633
165,70510,32574
166,75639,47135
167,79451,42214
168,5513,14278
169,13679,41535
170,5699,15362
171,24624,53558
172,14088,39739
173,15749,35049
174,39327,91307
175,47034,87365
176,83445,62213
177,78590,19021
178,7797,46987
179,71317,46890
180,60862,59168
181,51353,83862
182,65219,38676
183,54960,47965
184,1224,19819
185,38806,8848
186,13622,93704
187,86616,63370
188,96395,54336
189,97355,98825
190,37298,87886
191,11494,60853
192,63818,11586
193,85489,30455
194,2876,96950
195,39046,43836
196,15304,97217
197,89569,87245
198,49566,64765
199,27725,44634
200,83962,64677
201,48015,65306
202,87647,53509
203,31685,76671
204,54295,45848
205,62528,31936
206,59331,32530
207,75896,69974
208,88715,59845
209,49292,6869
210,56991,97783
211,20347,13001
212,31759,88160
213,65341,15119
214,33778,67785
215,70329,35997
216,91746,57470
217,12375,13170
218,80126,53657
219,41574,70517
220,74622,5773
221,56194,4514
222,93621,69038
223,71254,42168
224,14679,39907
225,60904,8453
226,7735,46392
227,88232,6656
228,62199,69240
229,24438,71207
230,15091,81602
231,97343,63262
232,49411,14088
233,57882,88877
234,94889,75078
235,76955,16845
236,85741,41150
237,67936,66892
238,12042,80127
239,47669,21032
240,16441,99672
241,38612,11583
242,38542,61215
243,43132,14007
244,58091,99203
245,21254,91231
246,24572,19984
247,67557,56783
248,50419,81742
249,90057,22618
250,42034,19133
251,48637,53047
252,91602,98450
253,8820,83144
254,34364,14649
255,97900,80581
256,34043,9229
257,48092,31187
258,95057,63743
259,92227,71993
260,87806,14607
261,83290,25729
262,77272,69089
263,67839,60776
264,29224,3213
265,81826,85664
266,14207,28973
267,74167,94298
268,35278,20381
269,9414,1501
270,44233,37638
271,57893,77554
272,27951,703
273,73586,21765
274,64258,78922
275,72693,44952
276,38422,82220
277,17941,22818
278,10435,56472
279,58750,83822
280,40301,92073
281,96602,31785
282,35083,40255
283,46655,76325
284,32706,49042
285,219,80360
286,69429,99482
287,61678,18559
288,10839,39168
289,14620,91064
290,61401,70307
291,15565,35499
292,42206,62110
293,57576,14650
294,33858,20184
295,43301,58116
296,8557,84092
297,31785,75500
298,16815,5097
299,29868,57555
300,88329,87889
301,54998,33858
302,49737,223
303,72772,37845
304,47737,79411
305,75906,78047
306,64566,74895
307,16486,87579
308,89035,87913
309,43948,12163
310,63291,5972
311,92921,83449
312,15474,64456
313,40400,75589
314,88558,17847
315,1603,86104
316,64544,81935
317,12693,62665
318,1017,34666
319,15934,66836
320,87341,19265
321,39544,67076
322,46061,8012
323,87000,18298
324,63857,42298
325,59014,43493
326,42530,1459
327,1363,13868
328,94598,43026
329,97358,14534
330,48101,56961
331,95047,70450
332,90226,25563
333,50818,14056
334,98912,19453
335,83452,75179
336,73527,35843
337,51432,40952
338,57981,88766
339,64292,13873
340,79895,39884
341,29983,21432
342,72519,28307
343,6150,48956
344,18360,33063
345,25794,76700
346,11633,99952
347,52230,20252
348,99203,25603
349,40496,41855
350,41984,78329
351,67803,8897
352,60620,66864
353,49123,38831
354,91906,75209
355,27432,78176
356,33547,79231
357,69829,31060
358,35956,43216
359,43764,47122
360,1477,23092
361,51338,39541
362,4495,43979
363,70414,26175
364,77284,8968
365,16539,23298
366,20168,87666
367,64844,32592
368,5382,65921
369,34964,78918
370,92258,11704
371,26524,70150
372,47425,24342
373,8424,96980
374,4018,94656
375,85148,28525
376,93797,34893
377,39945,31792
378,55011,56721
379,6816,43246
380,60190,45090
381,90095,31179
382,58725,43495
383,51278,5652
384,18488,24330
385,10142,7611
386,87769,50377
387,53727,72274
388,32118,85718
389,32041,20656
390,4212,14878
391,63456,13172
392,68221,33297
393,51145,61086
394,54067,64512
395,20364,47342
396,56978,94011
397,75855,64163
398,44749,44316
399,84040,13020
400,37395,82187
401,50863,96153
402,48345,14975
403,45442,72773
404,22124,15455
405,95007,69489
406,28586,83263
407,51917,69974
408,38728,49450
409,53088,58844
410,20276,82480
411,17123,88656
412,16282,28680
413,51656,29795
414,22086,78121
415,97654,36446
416,52097,1029
417,40558,84807
418,39826,68883
419,21717,51062
420,69192,42299
421,63092,567
422,6174,39003
423,31056,61187
424,56468,14341
425,81027,37356
