id,case_master_id,act_id,section_id,act_order_id,section_order_id
1,1,IT_ACT,66C,1,1
2,1,IT_ACT,66,1,2
3,2,IT_ACT,66,1,1
4,2,IT_ACT,66C,1,2
5,2,IT_ACT,66D,1,3
6,3,EXCISE_ACT,34,1,1
7,3,EXCISE_ACT,32,1,2
8,4,DOWRY_ACT,4,1,1
9,5,BNS,115,1,1
10,5,BNS,303,1,2
11,5,BNS,103,1,3
12,6,IT_ACT,66D,1,1
13,7,NDPS,20,1,1
14,8,POCSO,4,1,1
15,8,POCSO,8,1,2
16,9,POCSO,4,1,1
17,9,POCSO,12,1,2
18,10,MV_ACT,184,1,1
19,10,MV_ACT,185,1,2
20,11,IPC,323,1,1
21,11,IPC,302,1,2
22,11,IPC,354,1,3
23,12,NDPS,21,1,1
24,12,NDPS,22,1,2
25,12,NDPS,15,1,3
26,13,IT_ACT,66,1,1
27,13,IT_ACT,66D,1,2
28,14,MV_ACT,184,1,1
29,14,MV_ACT,185,1,2
30,15,IT_ACT,66C,1,1
31,15,IT_ACT,66,1,2
32,16,EXCISE_ACT,34,1,1
33,16,EXCISE_ACT,32,1,2
34,17,POCSO,4,1,1
35,17,POCSO,8,1,2
36,17,POCSO,12,1,3
37,18,BNS,309,1,1
38,18,BNS,103,1,2
39,19,IPC,376,1,1
40,19,IPC,324,1,2
41,20,IPC,395,1,1
42,21,IT_ACT,66,1,1
43,21,IT_ACT,67,1,2
44,21,IT_ACT,66D,1,3
45,22,IPC,323,1,1
46,22,IPC,395,1,2
47,23,IPC,395,1,1
48,23,IPC,406,1,2
49,24,NDPS,15,1,1
50,24,NDPS,22,1,2
51,24,NDPS,21,1,3
52,25,NDPS,15,1,1
53,25,NDPS,22,1,2
54,25,NDPS,20,1,3
55,26,IT_ACT,67,1,1
56,26,IT_ACT,66C,1,2
57,27,POCSO,4,1,1
58,27,POCSO,8,1,2
59,27,POCSO,12,1,3
60,28,ARMS_ACT,25,1,1
61,29,BNS,103,1,1
62,29,BNS,309,1,2
63,30,MV_ACT,184,1,1
64,31,IPC,354,1,1
65,32,NDPS,22,1,1
66,32,NDPS,15,1,2
67,33,EXCISE_ACT,32,1,1
68,33,EXCISE_ACT,34,1,2
69,34,BNS,115,1,1
70,35,ARMS_ACT,25,1,1
71,35,ARMS_ACT,27,1,2
72,36,ARMS_ACT,25,1,1
73,37,DOWRY_ACT,3,1,1
74,37,DOWRY_ACT,4,1,2
75,38,BNS,303,1,1
76,38,BNS,309,1,2
77,38,BNS,103,1,3
78,39,NDPS,22,1,1
79,40,ARMS_ACT,25,1,1
80,40,ARMS_ACT,27,1,2
81,41,IPC,498A,1,1
82,41,IPC,395,1,2
83,41,IPC,380,1,3
84,42,IT_ACT,66,1,1
85,42,IT_ACT,67,1,2
86,43,POCSO,12,1,1
87,43,POCSO,4,1,2
88,43,POCSO,8,1,3
89,44,EXCISE_ACT,32,1,1
90,44,EXCISE_ACT,34,1,2
91,45,NDPS,22,1,1
92,46,POCSO,8,1,1
93,46,POCSO,12,1,2
94,47,ARMS_ACT,27,1,1
95,47,ARMS_ACT,25,1,2
96,48,EXCISE_ACT,32,1,1
97,49,DOWRY_ACT,4,1,1
98,49,DOWRY_ACT,3,1,2
99,50,POCSO,4,1,1
100,50,POCSO,8,1,2
101,50,POCSO,12,1,3
102,51,ARMS_ACT,25,1,1
103,51,ARMS_ACT,27,1,2
104,52,NDPS,20,1,1
105,53,ARMS_ACT,25,1,1
106,54,IPC,406,1,1
107,54,IPC,447,1,2
108,54,IPC,363,1,3
109,55,ARMS_ACT,25,1,1
110,56,EXCISE_ACT,32,1,1
111,57,NDPS,15,1,1
112,57,NDPS,21,1,2
113,58,MV_ACT,184,1,1
114,58,MV_ACT,185,1,2
115,59,EXCISE_ACT,32,1,1
116,59,EXCISE_ACT,34,1,2
117,60,BNS,115,1,1
118,61,NDPS,21,1,1
119,61,NDPS,22,1,2
120,62,IT_ACT,66,1,1
121,62,IT_ACT,66C,1,2
122,62,IT_ACT,67,1,3
123,63,NDPS,22,1,1
124,63,NDPS,21,1,2
125,64,DOWRY_ACT,3,1,1
126,64,DOWRY_ACT,4,1,2
127,65,DOWRY_ACT,3,1,1
128,65,DOWRY_ACT,4,1,2
129,66,POCSO,4,1,1
130,66,POCSO,8,1,2
131,66,POCSO,12,1,3
132,67,POCSO,4,1,1
133,68,ARMS_ACT,25,1,1
134,68,ARMS_ACT,27,1,2
135,69,BNS,303,1,1
136,69,BNS,115,1,2
137,70,EXCISE_ACT,34,1,1
138,70,EXCISE_ACT,32,1,2
139,71,DOWRY_ACT,4,1,1
140,72,ARMS_ACT,25,1,1
141,72,ARMS_ACT,27,1,2
142,73,POCSO,12,1,1
143,73,POCSO,8,1,2
144,73,POCSO,4,1,3
145,74,EXCISE_ACT,32,1,1
146,74,EXCISE_ACT,34,1,2
147,75,IT_ACT,66C,1,1
148,76,EXCISE_ACT,32,1,1
149,76,EXCISE_ACT,34,1,2
150,77,DOWRY_ACT,4,1,1
151,77,DOWRY_ACT,3,1,2
152,78,POCSO,12,1,1
153,79,ARMS_ACT,27,1,1
154,79,ARMS_ACT,25,1,2
155,80,IPC,506,1,1
156,80,IPC,406,1,2
157,80,IPC,363,1,3
158,81,IT_ACT,66D,1,1
159,81,IT_ACT,66,1,2
160,81,IT_ACT,66C,1,3
161,82,MV_ACT,185,1,1
162,83,DOWRY_ACT,3,1,1
163,84,IPC,380,1,1
164,84,IPC,323,1,2
165,85,BNS,318,1,1
166,85,BNS,303,1,2
167,85,BNS,115,1,3
168,86,POCSO,12,1,1
169,86,POCSO,8,1,2
170,86,POCSO,4,1,3
171,87,DOWRY_ACT,4,1,1
172,88,IPC,363,1,1
173,88,IPC,406,1,2
174,88,IPC,379,1,3
175,89,IPC,324,1,1
176,89,IPC,307,1,2
177,90,POCSO,8,1,1
178,90,POCSO,12,1,2
179,90,POCSO,4,1,3
180,91,BNS,309,1,1
181,92,DOWRY_ACT,3,1,1
182,92,DOWRY_ACT,4,1,2
183,93,IT_ACT,66,1,1
184,94,MV_ACT,185,1,1
185,95,DOWRY_ACT,3,1,1
186,95,DOWRY_ACT,4,1,2
187,96,IT_ACT,67,1,1
188,96,IT_ACT,66,1,2
189,96,IT_ACT,66C,1,3
190,97,DOWRY_ACT,3,1,1
191,97,DOWRY_ACT,4,1,2
192,98,ARMS_ACT,25,1,1
193,98,ARMS_ACT,27,1,2
194,99,MV_ACT,184,1,1
195,99,MV_ACT,185,1,2
196,100,ARMS_ACT,27,1,1
197,100,ARMS_ACT,25,1,2
198,101,MV_ACT,185,1,1
199,101,MV_ACT,184,1,2
200,102,DOWRY_ACT,3,1,1
201,102,DOWRY_ACT,4,1,2
202,103,BNS,103,1,1
203,103,BNS,303,1,2
204,104,IT_ACT,66,1,1
205,104,IT_ACT,66C,1,2
206,105,IPC,376,1,1
207,105,IPC,363,1,2
208,105,IPC,379,1,3
209,106,NDPS,20,1,1
210,106,NDPS,15,1,2
211,107,BNS,318,1,1
212,107,BNS,309,1,2
213,108,ARMS_ACT,25,1,1
214,109,EXCISE_ACT,34,1,1
215,110,IT_ACT,66C,1,1
216,110,IT_ACT,66D,1,2
217,111,BNS,318,1,1
218,111,BNS,309,1,2
219,112,EXCISE_ACT,34,1,1
220,112,EXCISE_ACT,32,1,2
221,113,IT_ACT,66,1,1
222,113,IT_ACT,66C,1,2
223,113,IT_ACT,67,1,3
224,114,ARMS_ACT,27,1,1
225,114,ARMS_ACT,25,1,2
226,115,IT_ACT,66,1,1
227,115,IT_ACT,66D,1,2
228,115,IT_ACT,67,1,3
229,116,IPC,506,1,1
230,117,MV_ACT,185,1,1
231,117,MV_ACT,184,1,2
232,118,MV_ACT,184,1,1
233,118,MV_ACT,185,1,2
234,119,BNS,303,1,1
235,120,NDPS,15,1,1
236,120,NDPS,20,1,2
237,121,IT_ACT,66D,1,1
238,121,IT_ACT,66,1,2
239,121,IT_ACT,67,1,3
240,122,MV_ACT,185,1,1
241,122,MV_ACT,184,1,2
242,123,IT_ACT,66C,1,1
243,123,IT_ACT,66,1,2
244,124,POCSO,12,1,1
245,124,POCSO,4,1,2
246,124,POCSO,8,1,3
247,125,IPC,395,1,1
248,125,IPC,323,1,2
249,125,IPC,302,1,3
250,126,DOWRY_ACT,3,1,1
251,127,EXCISE_ACT,32,1,1
252,127,EXCISE_ACT,34,1,2
253,128,BNS,303,1,1
254,128,BNS,115,1,2
255,128,BNS,103,1,3
256,129,ARMS_ACT,25,1,1
257,129,ARMS_ACT,27,1,2
258,130,DOWRY_ACT,3,1,1
259,131,ARMS_ACT,27,1,1
260,131,ARMS_ACT,25,1,2
261,132,IPC,307,1,1
262,133,POCSO,4,1,1
263,133,POCSO,12,1,2
264,134,MV_ACT,184,1,1
265,134,MV_ACT,185,1,2
266,135,EXCISE_ACT,34,1,1
267,135,EXCISE_ACT,32,1,2
268,136,MV_ACT,185,1,1
269,137,ARMS_ACT,25,1,1
270,138,BNS,103,1,1
271,139,DOWRY_ACT,4,1,1
272,139,DOWRY_ACT,3,1,2
273,140,ARMS_ACT,25,1,1
274,140,ARMS_ACT,27,1,2
275,141,EXCISE_ACT,32,1,1
276,141,EXCISE_ACT,34,1,2
277,142,DOWRY_ACT,3,1,1
278,142,DOWRY_ACT,4,1,2
279,143,DOWRY_ACT,3,1,1
280,143,DOWRY_ACT,4,1,2
281,144,EXCISE_ACT,32,1,1
282,144,EXCISE_ACT,34,1,2
283,145,NDPS,15,1,1
284,145,NDPS,20,1,2
285,146,MV_ACT,184,1,1
286,146,MV_ACT,185,1,2
287,147,IT_ACT,67,1,1
288,147,IT_ACT,66D,1,2
289,147,IT_ACT,66,1,3
290,148,IT_ACT,67,1,1
291,149,POCSO,12,1,1
292,149,POCSO,8,1,2
293,150,NDPS,15,1,1
294,150,NDPS,20,1,2
295,151,ARMS_ACT,27,1,1
296,151,ARMS_ACT,25,1,2
297,152,DOWRY_ACT,3,1,1
298,152,DOWRY_ACT,4,1,2
299,153,BNS,303,1,1
300,154,BNS,309,1,1
301,154,BNS,303,1,2
302,155,BNS,318,1,1
303,155,BNS,103,1,2
