arrest_surrender_id,case_master_id,arrest_surrender_type_id,arrest_surrender_date,arrest_surrender_state_id,arrest_surrender_district_id,police_station_id,io_id,court_id,accused_master_id,is_accused,is_complainant_accused
1,1,1,2026-01-25,1,3,11,156,6.0,1,True,True
2,1,1,2026-02-17,1,3,11,169,6.0,2,True,False
3,5,1,2024-05-08,1,13,50,276,26.0,7,True,False
4,6,2,2024-03-30,1,6,23,22,11.0,9,True,False
5,7,1,2023-10-14,1,15,59,142,,10,True,False
6,7,1,2023-11-04,1,15,59,165,,11,True,False
7,8,1,2025-09-04,1,16,63,236,,14,True,True
8,10,1,2026-06-04,3,5,40,44,,15,True,False
9,11,1,2023-12-04,1,20,77,43,39.0,16,True,False
10,11,2,2023-12-13,1,20,77,168,39.0,17,True,False
11,12,1,2024-02-03,1,3,12,81,5.0,18,True,False
12,12,1,2024-01-30,1,3,12,261,5.0,19,True,True
13,14,2,2026-01-27,1,7,26,168,,22,True,False
14,14,1,2026-01-29,1,7,26,300,,23,True,False
15,15,1,2025-06-09,1,4,15,102,7.0,26,True,False
16,18,1,2023-02-12,6,20,71,90,35.0,32,True,False
17,19,2,2026-06-26,1,6,23,280,12.0,34,True,False
18,20,1,2023-12-03,1,19,73,252,37.0,36,True,False
19,20,1,2023-11-28,1,19,73,246,37.0,37,True,False
20,22,1,2026-04-24,1,2,9,142,,39,True,False
21,24,1,2023-12-23,1,9,35,229,17.0,41,True,False
22,25,1,2025-03-31,1,16,65,204,31.0,42,True,False
23,25,1,2025-03-24,7,12,65,145,31.0,43,True,False
24,26,2,2025-09-27,1,4,17,184,,44,True,False
25,28,1,2024-11-01,1,5,20,197,10.0,48,True,False
26,29,1,2025-07-01,1,3,11,106,,49,True,False
27,32,1,2026-02-25,1,6,23,222,,53,True,False
28,32,1,2026-03-06,1,6,23,77,,54,True,False
29,34,1,2024-10-03,1,3,12,174,6.0,55,True,False
30,36,2,2024-04-09,1,18,71,129,,57,True,False
31,37,2,2023-05-21,1,2,9,79,,59,True,False
32,38,1,2025-02-27,1,20,77,265,40.0,62,True,False
33,41,1,2023-08-20,1,18,70,36,,67,True,False
34,43,1,2023-11-20,1,3,11,190,6.0,69,True,False
35,44,1,2023-01-23,1,13,53,213,25.0,71,True,False
