log_id,user_id,action,case_id,timestamp,ip_address
LOG001875,USR0028,Updated Evidence,CASE006391,2026-06-01 08:04:00,10.32.162.75
LOG003694,USR0001,Updated Evidence,CASE001813,2026-06-01 08:15:00,10.215.176.142
LOG002693,USR0012,Downloaded Report,CASE009985,2026-06-01 08:30:00,10.215.35.143
LOG000595,USR0032,Searched Entity,,2026-06-01 08:30:00,10.61.75.88
LOG001705,USR0012,Searched Entity,,2026-06-01 08:42:00,10.65.126.56
LOG001580,USR0020,Viewed Case,CASE000045,2026-06-01 08:47:00,10.139.18.201
LOG003305,USR0022,Downloaded Report,CASE000960,2026-06-01 08:47:00,10.65.177.189
LOG002315,USR0033,Viewed Case,CASE001556,2026-06-01 08:50:00,10.152.52.101
LOG005430,USR0028,Viewed Suspect Profile,CASE001235,2026-06-01 08:52:00,10.162.125.67
LOG003338,USR0025,Viewed Case,CASE001988,2026-06-01 08:56:00,10.79.3.231
LOG000880,USR0025,Viewed Suspect Profile,CASE008073,2026-06-01 08:56:00,10.172.34.218
LOG002055,USR0008,Viewed Suspect Profile,CASE002821,2026-06-01 08:57:00,10.242.128.46
LOG000568,USR0001,Downloaded Report,CASE002096,2026-06-01 09:05:00,10.211.70.39
LOG003843,USR0002,Updated Evidence,CASE003122,2026-06-01 09:05:00,10.126.82.28
LOG003543,USR0014,Viewed Case,CASE004855,2026-06-01 09:10:00,10.36.125.58
LOG003222,USR0012,Updated Evidence,CASE003728,2026-06-01 09:22:00,10.133.109.216
LOG003613,USR0029,Updated Evidence,CASE003336,2026-06-01 09:25:00,10.72.254.163
LOG000525,USR0020,Searched Entity,,2026-06-01 09:35:00,10.44.58.53
LOG002054,USR0032,Searched Entity,,2026-06-01 09:44:00,10.234.178.194
LOG003693,USR0009,Viewed Case,CASE000395,2026-06-01 09:45:00,10.112.111.3
LOG002208,USR0030,Searched Entity,,2026-06-01 09:46:00,10.170.27.184
LOG002511,USR0013,Viewed Case,CASE005361,2026-06-01 09:47:00,10.40.113.46
LOG000033,USR0020,Viewed Suspect Profile,CASE008688,2026-06-01 09:53:00,10.170.112.113
LOG000966,USR0010,Viewed Case,CASE000977,2026-06-01 09:54:00,10.36.212.157
LOG003449,USR0025,Viewed Suspect Profile,CASE001590,2026-06-01 09:59:00,10.36.79.195
LOG004239,USR0010,Viewed Case,CASE004301,2026-06-01 10:02:00,10.104.243.1
LOG004300,USR0031,Searched Entity,,2026-06-01 10:06:00,10.27.216.194
LOG003786,USR0012,Viewed Case,CASE000888,2026-06-01 10:15:00,10.224.83.238
LOG004055,USR0023,Updated Evidence,CASE000768,2026-06-01 10:24:00,10.145.188.4
LOG001193,USR0004,Viewed Case,CASE001293,2026-06-01 10:41:00,10.253.39.156
LOG003861,USR0033,Viewed Suspect Profile,CASE000528,2026-06-01 10:45:00,10.80.177.86
LOG001337,USR0011,Updated Evidence,CASE009169,2026-06-01 10:46:00,10.41.212.12
LOG000108,USR0018,Viewed Suspect Profile,CASE000103,2026-06-01 10:55:00,10.118.101.198
LOG003564,USR0011,Searched Entity,,2026-06-01 10:56:00,10.110.168.110
LOG002325,USR0032,Downloaded Report,CASE001990,2026-06-01 10:56:00,10.131.248.21
LOG004505,USR0011,Viewed Suspect Profile,CASE005353,2026-06-01 10:56:00,10.13.74.44
LOG003980,USR0020,Downloaded Report,CASE002451,2026-06-01 11:06:00,10.164.246.151
LOG002347,USR0022,Downloaded Report,CASE009928,2026-06-01 11:11:00,10.209.172.214
LOG001514,USR0010,Viewed Suspect Profile,CASE000130,2026-06-01 11:13:00,10.207.159.156
LOG002451,USR0017,Searched Entity,,2026-06-01 11:28:00,10.86.15.59
LOG005250,USR0002,Searched Entity,,2026-06-01 11:40:00,10.122.59.90
LOG004131,USR0015,Viewed Suspect Profile,CASE000583,2026-06-01 11:48:00,10.137.105.27
LOG003783,USR0001,Viewed Suspect Profile,CASE009326,2026-06-01 11:54:00,10.176.243.35
LOG001770,USR0009,Updated Evidence,CASE005616,2026-06-01 12:02:00,10.168.33.7
LOG005991,USR0018,Searched Entity,,2026-06-01 12:10:00,10.151.161.13
LOG000765,USR0020,Viewed Suspect Profile,CASE000398,2026-06-01 12:18:00,10.101.211.249
