csid,case_master_id,csdate,cstype,police_person_id
1,1,2026-06-10 01:22:47,A,70
2,2,2024-11-08 00:41:39,C,38
3,3,2026-06-21 13:34:13,C,179
4,4,2024-12-13 09:08:32,C,220
5,8,2025-11-10 19:38:22,A,226
6,12,2024-02-25 11:43:21,B,126
7,16,2025-07-31 14:02:26,A,128
8,17,2025-09-22 06:58:58,A,253
9,18,2023-05-21 01:15:35,A,66
10,21,2025-04-30 19:41:59,A,284
11,23,2024-06-13 13:19:18,A,160
12,26,2026-02-25 18:46:32,C,93
13,28,2025-02-14 12:15:28,B,86
14,29,2025-10-12 01:32:28,A,216
15,31,2024-03-03 17:42:39,B,176
16,33,2025-01-01 08:13:52,C,1
17,34,2025-01-25 05:16:36,A,24
18,35,2026-09-07 19:34:55,A,154
19,38,2025-06-03 07:17:53,C,264
20,40,2026-09-05 09:01:31,B,6
21,43,2024-04-22 14:22:34,A,185
22,46,2026-09-20 11:50:07,A,279
23,47,2023-10-23 11:13:50,B,52
24,48,2023-07-02 10:11:12,A,203
25,51,2025-10-14 12:30:20,A,144
26,52,2025-04-05 04:48:25,A,41
27,53,2025-02-13 04:44:52,A,204
28,56,2026-06-16 02:50:09,A,247
29,58,2026-05-19 20:25:10,C,166
30,59,2023-04-26 00:02:01,A,271
31,61,2024-10-25 15:50:28,A,89
32,62,2024-01-25 03:57:24,C,223
33,69,2026-08-06 04:05:43,A,82
34,70,2025-01-27 06:48:43,A,296
35,71,2023-03-05 01:00:19,B,56
36,72,2025-10-08 20:25:41,B,175
37,73,2024-10-21 08:37:17,B,85
38,74,2024-05-12 18:35:50,A,68
39,75,2023-02-19 14:18:24,A,160
40,76,2023-05-27 12:22:39,A,187
41,77,2026-03-23 07:57:01,A,223
42,78,2024-07-27 05:16:24,A,177
43,79,2026-11-15 14:16:24,A,224
44,80,2026-11-28 00:36:08,A,144
45,81,2023-07-16 05:43:17,C,141
46,86,2026-07-03 18:51:32,C,125
47,89,2024-08-16 08:28:57,A,139
48,91,2023-08-01 18:48:01,A,37
49,92,2025-11-12 09:41:48,B,273
50,93,2026-03-12 15:38:39,A,148
51,97,2026-03-20 02:42:23,B,86
52,99,2023-06-13 17:39:00,A,188
53,100,2023-08-10 05:37:49,A,189
54,103,2025-08-24 11:06:57,A,194
55,104,2024-04-23 22:08:58,A,244
56,106,2023-11-08 04:37:56,B,121
57,109,2025-02-05 22:14:36,A,291
58,112,2026-07-24 08:09:07,A,270
59,114,2026-07-31 21:29:33,B,254
60,115,2026-03-07 09:01:12,A,133
61,116,2023-09-16 09:03:00,C,292
62,117,2024-01-29 19:50:45,A,68
63,118,2026-01-13 03:00:10,C,264
64,119,2026-09-11 03:32:55,C,191
65,120,2024-07-20 21:07:08,A,177
66,123,2024-03-24 21:50:59,A,236
67,124,2025-08-01 16:28:33,A,228
68,131,2024-04-24 22:47:30,B,65
69,133,2025-12-28 06:29:50,A,23
70,135,2024-01-05 10:59:03,C,131
71,136,2023-06-03 14:02:48,A,280
72,137,2025-05-10 02:23:21,C,256
73,138,2026-07-11 03:53:10,A,67
74,139,2023-10-19 01:40:35,A,235
75,140,2023-09-02 20:09:50,A,225
76,146,2025-02-26 18:58:06,A,134
77,148,2024-11-06 10:11:43,A,300
78,151,2023-05-21 05:30:03,C,199
79,153,2025-01-23 17:45:25,A,76
80,155,2026-03-25 03:39:00,A,128
81,157,2025-12-31 21:06:16,A,293
82,158,2023-06-24 07:28:52,A,209
83,159,2024-03-24 11:39:19,C,22
84,160,2024-08-02 21:23:11,A,169
85,161,2026-05-16 17:13:50,A,282
86,166,2026-07-06 02:59:16,A,150
87,167,2026-03-13 02:34:38,A,236
88,169,2025-10-20 16:35:31,A,2
89,170,2024-08-29 16:39:06,A,186
90,171,2023-10-04 17:47:53,A,77
91,172,2025-08-20 14:26:13,C,240
92,173,2026-08-17 15:16:53,A,238
93,175,2026-03-08 16:30:54,A,143
94,177,2025-05-06 21:33:40,A,231
95,179,2026-08-23 03:09:14,A,172
96,181,2024-05-27 07:31:06,B,92
97,182,2025-08-17 16:15:30,A,89
98,183,2023-12-03 15:59:45,A,63
99,184,2025-08-20 00:30:12,A,146
100,185,2023-07-07 00:42:05,C,166
101,187,2023-11-16 02:03:35,A,217
102,188,2024-11-17 16:56:22,A,88
103,190,2025-12-08 22:25:59,A,214
104,192,2026-03-22 23:11:03,C,50
105,193,2025-08-28 15:53:51,A,139
106,194,2025-10-08 14:18:52,C,154
107,195,2025-03-22 21:24:23,B,72
108,196,2024-09-28 22:26:59,A,35
109,197,2024-05-05 23:38:26,A,50
110,199,2024-06-10 20:59:51,A,283
111,200,2023-06-10 09:55:15,A,100
112,201,2024-06-25 02:42:29,C,228
113,202,2026-01-11 11:23:46,A,139
114,205,2024-10-04 16:31:46,A,56
115,206,2023-05-11 00:48:06,A,77
116,207,2024-12-02 13:55:55,A,161
117,208,2024-09-21 16:49:07,A,38
118,210,2026-03-11 02:32:58,A,253
119,212,2023-11-09 12:19:22,A,134
120,213,2026-07-06 13:34:20,C,83
121,214,2024-03-14 07:08:32,A,49
122,217,2026-07-06 13:21:55,C,97
123,218,2025-05-31 18:48:13,A,295
124,221,2026-03-05 17:49:53,A,160
125,222,2026-10-01 07:52:45,A,231
126,223,2026-06-01 05:38:03,B,157
127,224,2023-09-09 11:51:27,A,89
128,225,2025-02-02 02:55:23,C,256
129,227,2026-09-20 06:16:11,C,130
130,229,2023-10-08 07:41:13,C,93
131,230,2024-05-07 06:28:23,A,290
132,231,2023-12-13 19:26:51,A,197
133,232,2026-03-15 16:13:15,A,106
134,233,2026-04-30 23:15:34,A,188
135,234,2025-01-10 23:05:32,B,150
136,236,2024-06-01 02:05:20,A,229
137,239,2024-08-08 04:26:27,A,158
138,240,2024-03-22 00:25:51,A,24
139,241,2026-02-16 12:26:11,A,72
140,243,2025-11-11 08:01:31,A,139
141,244,2023-06-12 07:50:31,A,34
142,245,2023-12-16 14:28:17,B,165
143,247,2023-09-25 00:06:25,C,234
144,249,2024-09-21 10:19:59,A,37
145,250,2026-06-27 23:25:06,C,150
146,252,2026-08-06 11:41:37,A,171
147,253,2025-05-25 08:10:02,A,292
148,255,2026-07-23 22:57:28,C,292
149,256,2026-08-28 15:48:48,A,62
150,259,2025-11-02 13:48:15,B,157
151,260,2023-10-31 21:07:24,C,210
152,261,2026-05-15 23:58:40,B,45
153,262,2023-11-21 02:59:45,A,36
154,263,2024-10-08 11:33:33,A,233
155,264,2026-01-06 10:08:20,C,238
156,265,2025-07-12 22:05:30,B,272
157,267,2023-05-05 15:52:18,C,27
158,269,2024-07-09 00:13:52,A,227
159,270,2024-05-28 05:46:33,C,292
160,271,2026-05-26 22:23:28,A,78
161,273,2026-07-21 18:57:18,B,161
162,274,2025-04-16 17:35:36,A,283
163,276,2025-02-28 13:59:27,A,62
164,277,2026-03-30 17:27:31,C,55
165,279,2025-10-10 21:12:19,C,206
166,284,2024-07-26 18:27:00,C,244
167,285,2024-05-04 23:54:11,A,244
168,286,2024-10-02 15:05:39,B,201
169,287,2024-10-01 04:00:47,A,161
170,290,2024-05-16 21:56:50,A,195
171,291,2026-06-30 18:56:16,A,246
172,293,2025-01-06 06:02:48,C,239
173,296,2026-10-20 00:48:11,B,133
174,297,2025-09-08 13:17:06,C,161
175,299,2024-04-12 16:38:34,A,159
176,303,2025-12-12 14:40:31,C,40
177,305,2026-09-19 04:36:02,C,126
178,309,2023-10-20 06:35:13,A,268
179,310,2026-04-09 20:58:46,A,289
180,311,2025-06-09 17:47:50,A,231
181,312,2024-11-15 14:08:50,A,188
182,313,2024-02-16 17:53:54,A,274
183,316,2023-07-02 11:28:54,B,26
184,320,2026-07-29 01:23:20,C,201
185,321,2023-05-05 14:43:10,B,19
186,325,2023-06-23 19:54:06,A,2
187,326,2023-05-03 07:47:19,A,98
188,329,2023-05-19 00:01:34,A,252
189,330,2024-08-19 09:36:47,A,188
190,331,2026-03-08 08:52:25,A,44
191,332,2026-08-09 08:04:56,A,164
192,333,2023-12-24 00:15:18,B,168
193,336,2026-08-20 20:41:39,C,276
194,337,2024-04-22 16:17:42,A,167
195,338,2025-09-14 00:22:30,A,148
196,339,2025-03-21 18:59:28,A,124
197,342,2024-01-04 11:22:41,A,12
198,346,2024-05-08 23:02:01,A,191
199,347,2024-05-31 14:06:38,A,188
200,352,2024-03-19 21:00:37,A,256
201,353,2026-09-05 16:20:21,B,14
202,354,2024-04-06 03:36:22,A,105
203,356,2024-11-20 22:17:12,A,168
204,357,2023-04-17 23:17:43,A,153
205,358,2026-02-25 11:45:38,A,125
206,360,2023-05-10 20:17:59,C,118
207,361,2025-12-17 11:14:17,A,40
208,363,2024-05-14 21:26:51,A,134
209,364,2025-01-18 05:49:13,B,130
210,366,2025-06-24 12:52:39,A,169
211,368,2026-06-20 22:25:04,A,184
212,374,2024-06-22 00:45:01,A,202
213,375,2025-04-18 02:13:42,C,225
214,381,2023-09-07 09:32:18,A,264
215,382,2026-03-12 13:22:05,A,107
216,383,2024-05-17 01:23:28,A,213
217,385,2026-05-19 18:52:00,C,209
218,387,2026-07-24 22:48:35,A,7
219,390,2026-08-11 06:38:51,A,180
220,391,2025-05-14 01:02:41,C,24
221,392,2026-08-07 23:56:13,A,83
222,394,2026-06-09 21:17:52,A,109
223,397,2026-09-16 02:33:05,A,180
224,398,2026-07-08 07:10:06,A,63
225,406,2023-07-04 12:56:27,B,113
226,408,2024-05-16 02:55:10,A,152
227,410,2025-01-10 08:56:45,A,262
228,411,2026-04-15 19:00:31,C,139
229,412,2024-04-24 05:47:29,A,59
230,414,2025-06-17 01:35:00,A,176
231,415,2026-10-09 23:58:18,A,100
232,416,2026-04-14 02:16:49,A,114
