id,arrest_surrender_id,accused_master_id
1,1,1
2,2,2
3,3,7
4,4,9
5,5,10
6,6,11
7,7,14
8,8,15
9,9,16
10,10,17
11,11,18
12,12,19
13,13,22
14,14,23
15,15,26
16,16,32
17,17,34
18,18,36
19,19,37
20,20,39
21,21,41
22,22,42
23,23,43
24,24,44
25,25,48
26,26,49
27,27,53
28,28,54
29,29,55
30,30,57
31,31,59
32,32,62
33,33,67
34,34,69
35,35,71
36,36,72
37,37,74
38,38,75
39,39,77
40,40,78
41,41,79
42,42,80
43,43,81
44,44,83
45,45,84
46,46,85
47,47,86
48,48,87
49,49,88
50,50,89
51,51,90
52,52,92
53,53,94
54,54,95
55,55,98
56,56,99
57,57,100
58,58,101
59,59,103
60,60,104
61,61,106
62,62,109
63,63,112
64,64,113
65,65,115
66,66,117
67,67,118
68,68,119
69,69,121
70,70,125
71,71,126
72,72,128
73,73,129
74,74,130
75,75,131
76,76,133
77,77,136
78,78,137
79,79,140
80,80,142
81,81,145
82,82,147
83,83,150
84,84,151
85,85,152
86,86,156
87,87,158
88,88,162
89,89,163
90,90,166
91,91,168
92,92,169
93,93,172
94,94,173
95,95,174
96,96,176
97,97,178
98,98,180
99,99,181
100,100,182
101,101,183
102,102,185
103,103,186
104,104,189
105,105,190
106,106,192
107,107,193
108,108,196
109,109,198
110,110,201
111,111,206
112,112,207
113,113,208
114,114,209
115,115,210
116,116,211
117,117,212
118,118,214
119,119,215
120,120,216
121,121,217
122,122,220
123,123,221
124,124,222
125,125,223
126,126,227
127,127,230
128,128,234
129,129,235
130,130,236
131,131,237
132,132,240
133,133,241
134,134,242
135,135,244
136,136,245
137,137,246
138,138,247
139,139,248
140,140,249
141,141,250
142,142,253
143,143,254
144,144,255
145,145,258
146,146,259
147,147,260
148,148,261
149,149,262
150,150,264
151,151,265
152,152,269
153,153,270
154,154,272
155,155,274
156,156,276
157,157,279
158,158,280
159,159,282
160,160,283
161,161,284
162,162,285
163,163,287
164,164,288
165,165,289
166,166,291
167,167,293
168,168,294
169,169,295
170,170,297
171,171,298
172,172,303
173,173,304
174,174,307
175,175,308
176,176,309
177,177,310
178,178,314
179,179,316
180,180,318
181,181,320
182,182,321
183,183,326
184,184,328
185,185,332
186,186,333
187,187,336
188,188,337
189,189,340
190,190,341
191,191,343
192,192,345
193,193,347
194,194,349
195,195,350
196,196,351
197,197,353
198,198,354
199,199,355
200,200,360
201,201,364
202,202,365
203,203,366
204,204,368
205,205,369
206,206,370
207,207,373
208,208,374
209,209,375
210,210,381
211,211,383
212,212,385
213,213,386
214,214,388
215,215,389
216,216,390
217,217,392
218,218,393
219,219,394
220,220,395
221,221,396
222,222,398
223,223,399
224,224,405
225,225,406
226,226,408
227,227,410
228,228,411
229,229,413
230,230,415
231,231,417
232,232,419
233,233,421
234,234,422
235,235,424
236,236,430
237,237,431
238,238,432
239,239,433
240,240,436
241,241,437
242,242,438
243,243,440
244,244,443
245,245,444
246,246,445
247,247,446
248,248,447
249,249,448
250,250,449
251,251,450
252,252,451
253,253,452
254,254,453
255,255,455
256,256,457
257,257,458
258,258,459
259,259,461
260,260,464
261,261,465
262,262,466
263,263,467
264,264,468
265,265,469
266,266,472
267,267,473
268,268,474
269,269,475
270,270,476
271,271,478
272,272,479
273,273,480
274,274,481
275,275,483
276,276,484
277,277,485
278,278,487
279,279,488
280,280,491
281,281,493
282,282,494
283,283,498
284,284,500
285,285,503
286,286,510
287,287,512
288,288,514
289,289,515
290,290,516
291,291,518
292,292,519
293,293,522
294,294,523
295,295,525
296,296,526
297,297,530
298,298,531
299,299,532
300,300,535
301,301,540
302,302,542
303,303,543
304,304,544
305,305,546
306,306,547
307,307,550
308,308,552
309,309,553
310,310,556
311,311,557
312,312,558
313,313,559
314,314,560
315,315,565
316,316,569
317,317,570
318,318,575
319,319,578
320,320,580
321,321,583
322,322,584
323,323,588
324,324,591
325,325,597
326,326,598
327,327,603
328,328,604
329,329,605
330,330,608
331,331,610
332,332,611
333,333,612
334,334,613
335,335,616
336,336,617
337,337,620
338,338,622
339,339,623
340,340,625
341,341,626
342,342,628
343,343,630
344,344,633
345,345,634
346,346,637
347,347,638
348,348,639
349,349,643
350,350,645
351,351,646
352,352,649
353,353,650
354,354,651
355,355,652
356,356,653
357,357,654
358,358,657
359,359,658
360,360,661
361,361,663
362,362,665
363,363,666
364,364,669
365,365,672
366,366,673
367,367,674
368,368,678
369,369,680
370,370,682
371,371,683
372,372,684
373,373,686
374,374,688
375,375,690
376,376,693
377,377,694
378,378,696
379,379,700
380,380,701
381,381,703
382,382,704
383,383,706
384,384,707
385,385,708
386,386,709
387,387,711
388,388,712
389,389,713
390,390,714
391,391,718
392,392,719
393,393,720
394,394,726
395,395,727
396,396,729
397,397,731
398,398,732
399,399,733
400,400,735
401,401,737
402,402,738
403,403,740
404,404,743
405,405,744
406,406,745
407,407,748
408,408,750
409,409,751
410,410,752
411,411,757
412,412,758
413,413,760
414,414,763
415,415,765
416,416,766
417,417,767
418,418,768
