station_id,station_name,district,city,phone
ST0001,Ballari Police Station 1,Ballari,Ballari,0807056644
ST0002,Dharwad Police Station 2,Dharwad,Dharwad,0804955410
ST0003,Bengaluru Rural Police Station 3,Bengaluru Rural,Bengaluru Rural,0809602859
ST0004,Bengaluru Rural Police Station 4,Bengaluru Rural,Bengaluru Rural,0805389605
ST0005,Tumakuru Police Station 5,Tumakuru,Tumakuru,0806614807
ST0006,Bengaluru Rural Police Station 6,Bengaluru Rural,Bengaluru Rural,0804475649
ST0007,Ballari Police Station 7,Ballari,Ballari,0805440773
ST0008,Tumakuru Police Station 8,Tumakuru,Tumakuru,0803475683
ST0009,Shivamogga Police Station 9,Shivamogga,Shivamogga,0807880880
ST0010,Ballari Police Station 10,Ballari,Ballari,0809687470
ST0011,Mysuru Police Station 11,Mysuru,Mysuru,0804255105
ST0012,Mangaluru Police Station 12,Mangaluru,Mangaluru,0805711147
ST0013,Kalaburagi Police Station 13,Kalaburagi,Kalaburagi,0802843700
ST0014,Ballari Police Station 14,Ballari,Ballari,0805285791
ST0015,Dharwad Police Station 15,Dharwad,Dharwad,0808646125
ST0016,Kalaburagi Police Station 16,Kalaburagi,Kalaburagi,0808904207
ST0017,Belagavi Police Station 17,Belagavi,Belagavi,0808268070
ST0018,Mysuru Police Station 18,Mysuru,Mysuru,0806805180
ST0019,Belagavi Police Station 19,Belagavi,Belagavi,0808854380
ST0020,Bengaluru Urban Police Station 20,Bengaluru Urban,Bengaluru Urban,0808385875
ST0021,Tumakuru Police Station 21,Tumakuru,Tumakuru,0807247463
ST0022,Kalaburagi Police Station 22,Kalaburagi,Kalaburagi,0803663440
ST0023,Mangaluru Police Station 23,Mangaluru,Mangaluru,0807789573
ST0024,Bengaluru Rural Police Station 24,Bengaluru Rural,Bengaluru Rural,0808122905
ST0025,Belagavi Police Station 25,Belagavi,Belagavi,0803509711
ST0026,Shivamogga Police Station 26,Shivamogga,Shivamogga,0803379670
ST0027,Mangaluru Police Station 27,Mangaluru,Mangaluru,0803775873
ST0028,Kalaburagi Police Station 28,Kalaburagi,Kalaburagi,0803120920
ST0029,Mysuru Police Station 29,Mysuru,Mysuru,0805341232
ST0030,Bengaluru Urban Police Station 30,Bengaluru Urban,Bengaluru Urban,0805493241
ST0031,Belagavi Police Station 31,Belagavi,Belagavi,0802548756
ST0032,Mysuru Police Station 32,Mysuru,Mysuru,0801651101
ST0033,Mysuru Police Station 33,Mysuru,Mysuru,0803414983
ST0034,Mysuru Police Station 34,Mysuru,Mysuru,0805336543
ST0035,Mangaluru Police Station 35,Mangaluru,Mangaluru,0804422162
ST0036,Belagavi Police Station 36,Belagavi,Belagavi,0809265799
ST0037,Dharwad Police Station 37,Dharwad,Dharwad,0809866382
ST0038,Tumakuru Police Station 38,Tumakuru,Tumakuru,0805268534
ST0039,Belagavi Police Station 39,Belagavi,Belagavi,0804284890
ST0040,Shivamogga Police Station 40,Shivamogga,Shivamogga,0806973950
ST0041,Kalaburagi Police Station 41,Kalaburagi,Kalaburagi,0807906169
ST0042,Bengaluru Urban Police Station 42,Bengaluru Urban,Bengaluru Urban,0809937048
ST0043,Bengaluru Rural Police Station 43,Bengaluru Rural,Bengaluru Rural,0805120064
ST0044,Bengaluru Rural Police Station 44,Bengaluru Rural,Bengaluru Rural,0804013991
ST0045,Ballari Police Station 45,Ballari,Ballari,0806897840
ST0046,Mangaluru Police Station 46,Mangaluru,Mangaluru,0801014530
ST0047,Mangaluru Police Station 47,Mangaluru,Mangaluru,0801810149
ST0048,Belagavi Police Station 48,Belagavi,Belagavi,0803633520
ST0049,Bengaluru Rural Police Station 49,Bengaluru Rural,Bengaluru Rural,0807109278
ST0050,Ballari Police Station 50,Ballari,Ballari,0805032939
