act_code,section_code,section_description,active
IPC,302,Murder,True
IPC,307,Attempt to murder,True
IPC,323,Voluntarily causing hurt,True
IPC,324,Hurt by dangerous weapons,True
IPC,354,Assault on woman with intent to outrage modesty,True
IPC,363,Kidnapping,True
IPC,376,Rape,True
IPC,379,Theft,True
IPC,380,Theft in a building,True
IPC,392,Robbery,True
IPC,395,Dacoity,True
IPC,406,Criminal breach of trust,True
IPC,420,Cheating,True
IPC,447,Criminal trespass,True
IPC,498A,Cruelty by husband/relatives,True
IPC,506,Criminal intimidation,True
BNS,103,Murder,True
BNS,115,Voluntarily causing hurt,True
BNS,303,Theft,True
BNS,309,Robbery,True
BNS,318,Cheating,True
NDPS,15,Poppy straw offences,True
NDPS,20,Cannabis offences,True
NDPS,21,Manufactured drug offences,True
NDPS,22,Psychotropic substance offences,True
POCSO,4,Penetrative sexual assault,True
POCSO,8,Sexual assault,True
POCSO,12,Sexual harassment,True
IT_ACT,66,Computer related offences,True
IT_ACT,66C,Identity theft,True
IT_ACT,66D,Cheating by personation,True
IT_ACT,67,Publishing obscene material,True
MV_ACT,184,Dangerous driving,True
MV_ACT,185,Driving under influence,True
ARMS_ACT,25,Possession of prohibited arms,True
ARMS_ACT,27,Use of arms,True
EXCISE_ACT,32,Illicit possession of liquor,True
EXCISE_ACT,34,Illegal manufacture,True
DOWRY_ACT,3,Giving/taking dowry,True
DOWRY_ACT,4,Demanding dowry,True
