suspect_id,case_id,citizen_id,role,arrest_status
SUS000001,CASE004163,CID000514,Unknown Suspect,Absconding
SUS000002,CASE006460,CID003930,Accomplice,Absconding
SUS000003,CASE005332,CID006270,Gang Member,Under Surveillance
SUS000004,CASE001965,CID007778,Unknown Suspect,Under Surveillance
SUS000005,CASE004492,CID001549,Unknown Suspect,Under Surveillance
SUS000006,CASE009553,CID001481,Accomplice,Absconding
SUS000007,CASE000133,CID000547,Main Suspect,Wanted
SUS000008,CASE003633,CID008737,Gang Member,Arrested
SUS000009,CASE003647,CID005803,Gang Member,Under Surveillance
SUS000010,CASE007765,CID008241,Accomplice,Absconding
SUS000011,CASE004445,CID008583,Unknown Suspect,Under Surveillance
SUS000012,CASE007995,CID001480,Unknown Suspect,Under Surveillance
SUS000013,CASE007344,CID000173,Unknown Suspect,Arrested
SUS000014,CASE000043,CID000102,Unknown Suspect,Wanted
SUS000015,CASE003906,CID000223,Gang Member,Under Surveillance
SUS000016,CASE004271,CID006231,Main Suspect,Wanted
SUS000017,CASE008221,CID005434,Main Suspect,Wanted
SUS000018,CASE004614,CID001084,Gang Member,Absconding
SUS000019,CASE005601,CID006846,Accomplice,Arrested
SUS000020,CASE001136,CID004328,Main Suspect,Arrested
SUS000021,CASE005279,CID000642,Gang Member,Arrested
SUS000022,CASE002643,CID008506,Gang Member,Under Surveillance
SUS000023,CASE008726,CID000891,Unknown Suspect,Arrested
SUS000024,CASE009698,CID000975,Unknown Suspect,Under Surveillance
SUS000025,CASE001556,CID000657,Gang Member,Arrested
SUS000026,CASE006817,CID007516,Accomplice,Absconding
SUS000027,CASE007076,CID000115,Gang Member,Wanted
SUS000028,CASE002125,CID000086,Gang Member,Absconding
SUS000029,CASE008543,CID000521,Main Suspect,Absconding
SUS000030,CASE007707,CID001364,Accomplice,Wanted
SUS000031,CASE002022,CID008922,Accomplice,Wanted
SUS000032,CASE003917,CID008497,Main Suspect,Wanted
SUS000033,CASE009454,CID006482,Unknown Suspect,Wanted
SUS000034,CASE009833,CID003366,Accomplice,Under Surveillance
SUS000035,CASE008882,CID000592,Gang Member,Arrested
SUS000036,CASE001477,CID006774,Gang Member,Wanted
SUS000037,CASE001848,CID008764,Gang Member,Absconding
SUS000038,CASE009611,CID009602,Unknown Suspect,Wanted
SUS000039,CASE008820,CID000272,Main Suspect,Absconding
SUS000040,CASE003870,CID000260,Main Suspect,Under Surveillance
SUS000041,CASE007448,CID008077,Main Suspect,Under Surveillance
SUS000042,CASE008663,CID000243,Unknown Suspect,Under Surveillance
SUS000043,CASE004435,CID006922,Gang Member,Absconding
SUS000044,CASE006059,CID007398,Accomplice,Arrested
SUS000045,CASE000429,CID009496,Gang Member,Wanted
SUS000046,CASE003543,CID009133,Unknown Suspect,Under Surveillance
SUS000047,CASE008531,CID005906,Main Suspect,Under Surveillance
SUS000048,CASE000326,CID000544,Unknown Suspect,Arrested
SUS000049,CASE004753,CID000384,Unknown Suspect,Under Surveillance
SUS000050,CASE007181,CID001708,Gang Member,Arrested
SUS000051,CASE007266,CID004795,Main Suspect,Wanted
SUS000052,CASE000303,CID005143,Gang Member,Under Surveillance
SUS000053,CASE001878,CID000416,Gang Member,Absconding
SUS000054,CASE006818,CID000224,Gang Member,Absconding
SUS000055,CASE001421,CID005884,Gang Member,Under Surveillance
SUS000056,CASE003389,CID008030,Main Suspect,Arrested
SUS000057,CASE007937,CID008673,Gang Member,Arrested
SUS000058,CASE008623,CID007102,Unknown Suspect,Arrested
SUS000059,CASE000834,CID004624,Gang Member,Arrested
SUS000060,CASE003889,CID006957,Accomplice,Wanted
SUS000061,CASE007579,CID001933,Gang Member,Wanted
SUS000062,CASE001735,CID000427,Unknown Suspect,Wanted
SUS000063,CASE006051,CID005790,Main Suspect,Arrested
SUS000064,CASE001759,CID000480,Accomplice,Under Surveillance
SUS000065,CASE002515,CID000960,Main Suspect,Absconding
SUS000066,CASE009039,CID008929,Unknown Suspect,Arrested
SUS000067,CASE004169,CID007695,Gang Member,Under Surveillance
SUS000068,CASE003758,CID006258,Accomplice,Arrested
