unit_id,unit_name,type_id,parent_unit,nationality_id,state_id,district_id,active
1,Karnataka State Police HQ,5,,1,1,,True
2,Bengaluru Urban District Police Office,4,1.0,1,1,1.0,True
3,Bengaluru Urban Town PS 1,1,2.0,1,1,1.0,True
4,Bengaluru Urban Town PS 2,1,2.0,1,1,1.0,True
5,Bengaluru Urban Town PS 3,1,2.0,1,1,1.0,True
6,Bengaluru Urban Town PS 4,1,2.0,1,1,1.0,True
7,Bengaluru Rural District Police Office,4,1.0,1,1,2.0,True
8,Bengaluru Rural Town PS 1,1,7.0,1,1,2.0,True
9,Bengaluru Rural Town PS 2,1,7.0,1,1,2.0,True
10,Mysuru District Police Office,4,1.0,1,1,3.0,True
11,Mysuru Town PS 1,1,10.0,1,1,3.0,True
12,Mysuru Town PS 2,1,10.0,1,1,3.0,True
13,Mangaluru (Dakshina Kannada) District Police Office,4,1.0,1,1,4.0,True
14,Mangaluru (Dakshina Kannada) Town PS 1,1,13.0,1,1,4.0,True
15,Mangaluru (Dakshina Kannada) Town PS 2,1,13.0,1,1,4.0,True
16,Mangaluru (Dakshina Kannada) Town PS 3,1,13.0,1,1,4.0,True
17,Mangaluru (Dakshina Kannada) Town PS 4,1,13.0,1,1,4.0,True
18,Belagavi District Police Office,4,1.0,1,1,5.0,True
19,Belagavi Town PS 1,1,18.0,1,1,5.0,True
20,Belagavi Town PS 2,1,18.0,1,1,5.0,True
21,Belagavi Town PS 3,1,18.0,1,1,5.0,True
22,Kalaburagi District Police Office,4,1.0,1,1,6.0,True
23,Kalaburagi Town PS 1,1,22.0,1,1,6.0,True
24,Kalaburagi Town PS 2,1,22.0,1,1,6.0,True
25,Hubballi-Dharwad District Police Office,4,1.0,1,1,7.0,True
26,Hubballi-Dharwad Town PS 1,1,25.0,1,1,7.0,True
27,Hubballi-Dharwad Town PS 2,1,25.0,1,1,7.0,True
28,Ballari District Police Office,4,1.0,1,1,8.0,True
29,Ballari Town PS 1,1,28.0,1,1,8.0,True
30,Ballari Town PS 2,1,28.0,1,1,8.0,True
31,Tumakuru District Police Office,4,1.0,1,1,9.0,True
32,Tumakuru Town PS 1,1,31.0,1,1,9.0,True
33,Tumakuru Town PS 2,1,31.0,1,1,9.0,True
34,Tumakuru Town PS 3,1,31.0,1,1,9.0,True
35,Tumakuru Town PS 4,1,31.0,1,1,9.0,True
36,Shivamogga District Police Office,4,1.0,1,1,10.0,True
37,Shivamogga Town PS 1,1,36.0,1,1,10.0,True
38,Shivamogga Town PS 2,1,36.0,1,1,10.0,True
39,Davanagere District Police Office,4,1.0,1,1,11.0,True
40,Davanagere Town PS 1,1,39.0,1,1,11.0,True
41,Davanagere Town PS 2,1,39.0,1,1,11.0,True
42,Davanagere Town PS 3,1,39.0,1,1,11.0,True
43,Davanagere Town PS 4,1,39.0,1,1,11.0,True
44,Vijayapura District Police Office,4,1.0,1,1,12.0,True
45,Vijayapura Town PS 1,1,44.0,1,1,12.0,True
46,Vijayapura Town PS 2,1,44.0,1,1,12.0,True
47,Vijayapura Town PS 3,1,44.0,1,1,12.0,True
48,Vijayapura Town PS 4,1,44.0,1,1,12.0,True
49,Raichur District Police Office,4,1.0,1,1,13.0,True
50,Raichur Town PS 1,1,49.0,1,1,13.0,True
51,Raichur Town PS 2,1,49.0,1,1,13.0,True
52,Raichur Town PS 3,1,49.0,1,1,13.0,True
53,Raichur Town PS 4,1,49.0,1,1,13.0,True
54,Udupi District Police Office,4,1.0,1,1,14.0,True
55,Udupi Town PS 1,1,54.0,1,1,14.0,True
56,Udupi Town PS 2,1,54.0,1,1,14.0,True
57,Chikkamagaluru District Police Office,4,1.0,1,1,15.0,True
58,Chikkamagaluru Town PS 1,1,57.0,1,1,15.0,True
59,Chikkamagaluru Town PS 2,1,57.0,1,1,15.0,True
60,Chikkamagaluru Town PS 3,1,57.0,1,1,15.0,True
61,Chikkamagaluru Town PS 4,1,57.0,1,1,15.0,True
62,Hassan District Police Office,4,1.0,1,1,16.0,True
63,Hassan Town PS 1,1,62.0,1,1,16.0,True
64,Hassan Town PS 2,1,62.0,1,1,16.0,True
65,Hassan Town PS 3,1,62.0,1,1,16.0,True
66,Mandya District Police Office,4,1.0,1,1,17.0,True
67,Mandya Town PS 1,1,66.0,1,1,17.0,True
68,Mandya Town PS 2,1,66.0,1,1,17.0,True
69,Kolar District Police Office,4,1.0,1,1,18.0,True
70,Kolar Town PS 1,1,69.0,1,1,18.0,True
71,Kolar Town PS 2,1,69.0,1,1,18.0,True
72,Chitradurga District Police Office,4,1.0,1,1,19.0,True
73,Chitradurga Town PS 1,1,72.0,1,1,19.0,True
74,Chitradurga Town PS 2,1,72.0,1,1,19.0,True
75,Bidar District Police Office,4,1.0,1,1,20.0,True
76,Bidar Town PS 1,1,75.0,1,1,20.0,True
77,Bidar Town PS 2,1,75.0,1,1,20.0,True
