relationship_id,citizen_1,citizen_2,relationship_type
REL000001,CID006450,CID005453,Same Vehicle
REL000002,CID009498,CID002127,Money Transfer
REL000003,CID006351,CID002746,Money Transfer
REL000004,CID008022,CID007846,Same Phone
REL000005,CID001748,CID000246,Business Partner
REL000006,CID008984,CID009263,Business Partner
REL000007,CID001286,CID008431,Gang Member
REL000008,CID000164,CID006826,Friend
REL000009,CID003713,CID001720,Brother
REL000010,CID008355,CID007155,Business Partner
REL000011,CID002086,CID006093,Gang Member
REL000012,CID001886,CID001522,Same Vehicle
REL000013,CID006441,CID006876,Gang Member
REL000014,CID003349,CID007342,Associate
REL000015,CID001565,CID005643,Gang Member
REL000016,CID006661,CID009611,Money Transfer
REL000017,CID003314,CID005368,Brother
REL000018,CID005491,CID001896,Same Bank Account
REL000019,CID008793,CID004603,Business Partner
REL000020,CID001223,CID000019,Same Bank Account
REL000021,CID009741,CID006773,Brother
REL000022,CID007987,CID004591,Associate
REL000023,CID005843,CID003239,Business Partner
REL000024,CID003971,CID009052,Associate
REL000025,CID005897,CID000573,Gang Member
REL000026,CID009162,CID000281,Associate
REL000027,CID003946,CID008323,Same Phone
REL000028,CID004995,CID004815,Gang Member
REL000029,CID009841,CID008029,Friend
REL000030,CID002512,CID001332,Gang Member
REL000031,CID004358,CID001630,Same Phone
REL000032,CID009500,CID005912,Same Bank Account
REL000033,CID009375,CID002760,Gang Member
REL000034,CID009178,CID009538,Same Phone
REL000035,CID007713,CID006544,Same Bank Account
REL000036,CID005738,CID003159,Same Vehicle
REL000037,CID008562,CID001106,Friend
REL000038,CID008517,CID001360,Gang Member
REL000039,CID009122,CID002990,Friend
REL000040,CID007229,CID004297,Gang Member
REL000041,CID005238,CID005184,Business Partner
REL000042,CID008646,CID009942,Money Transfer
REL000043,CID001086,CID001551,Same Phone
REL000044,CID001392,CID009031,Gang Member
REL000045,CID001525,CID009717,Same Bank Account
REL000046,CID003591,CID005895,Same Vehicle
REL000047,CID008312,CID000243,Money Transfer
REL000048,CID000473,CID009585,Gang Member
REL000049,CID003411,CID000402,Business Partner
REL000050,CID002896,CID002233,Business Partner
REL000051,CID005860,CID009662,Same Bank Account
REL000052,CID004349,CID007913,Business Partner
REL000053,CID007978,CID001906,Same Vehicle
REL000054,CID002027,CID009479,Business Partner
REL000055,CID003208,CID005562,Gang Member
REL000056,CID002884,CID003291,Money Transfer
REL000057,CID008554,CID007873,Brother
REL000058,CID009106,CID007872,Associate
REL000059,CID005784,CID001710,Same Phone
REL000060,CID008787,CID005575,Brother
REL000061,CID008221,CID001809,Business Partner
REL000062,CID008797,CID000602,Friend
REL000063,CID006914,CID009693,Same Phone
REL000064,CID000413,CID002240,Same Phone
REL000065,CID004783,CID000138,Associate
REL000066,CID000076,CID002371,Friend
REL000067,CID001023,CID007967,Money Transfer
REL000068,CID009480,CID001978,Brother
REL000069,CID009712,CID001215,Same Phone
REL000070,CID000413,CID002016,Brother
REL000071,CID002476,CID005584,Money Transfer
REL000072,CID007263,CID006827,Business Partner
REL000073,CID005576,CID008409,Money Transfer
REL000074,CID003071,CID008565,Brother
REL000075,CID000492,CID004358,Money Transfer
REL000076,CID003544,CID006054,Gang Member
REL000077,CID009726,CID008782,Business Partner
REL000078,CID004390,CID009376,Same Phone
REL000079,CID007973,CID009124,Same Vehicle
REL000080,CID008997,CID009777,Friend
REL000081,CID005517,CID007053,Brother
REL000082,CID006152,CID003659,Associate
REL000083,CID000904,CID004212,Same Bank Account
REL000084,CID004078,CID001034,Same Phone
REL000085,CID003634,CID008222,Friend
REL000086,CID009271,CID002196,Brother
REL000087,CID003130,CID003447,Brother
REL000088,CID002555,CID005748,Same Vehicle
REL000089,CID005807,CID003290,Brother
REL000090,CID003851,CID004509,Money Transfer
REL000091,CID009581,CID007024,Gang Member
REL000092,CID004679,CID002554,Same Bank Account
REL000093,CID007573,CID004226,Brother
REL000094,CID005454,CID004671,Same Bank Account
REL000095,CID001071,CID008111,Associate
REL000096,CID000121,CID002451,Same Vehicle
REL000097,CID003338,CID006678,Same Phone
REL000098,CID005206,CID005479,Business Partner
REL000099,CID002054,CID000862,Friend
REL000100,CID000603,CID006417,Same Bank Account
REL000101,CID005474,CID007606,Same Vehicle
REL000102,CID000204,CID004652,Same Bank Account
REL000103,CID009723,CID008691,Business Partner
REL000104,CID006439,CID000959,Gang Member
REL000105,CID000386,CID001669,Friend
REL000106,CID002234,CID007977,Same Phone
REL000107,CID003274,CID002403,Associate
REL000108,CID003249,CID000619,Brother
REL000109,CID001421,CID006371,Money Transfer
REL000110,CID000736,CID005310,Same Vehicle
REL000111,CID004616,CID008605,Brother
REL000112,CID002821,CID004209,Same Phone
REL000113,CID007052,CID006391,Money Transfer
REL000114,CID001241,CID009462,Money Transfer
REL000115,CID005955,CID004867,Friend
REL000116,CID001014,CID007987,Business Partner
REL000117,CID009489,CID004343,Money Transfer
REL000118,CID009596,CID004183,Money Transfer
REL000119,CID000720,CID007489,Friend
REL000120,CID001800,CID000619,Associate
REL000121,CID009524,CID003728,Same Bank Account
REL000122,CID008514,CID001532,Same Vehicle
REL000123,CID005330,CID005325,Brother
REL000124,CID004165,CID003278,Business Partner
REL000125,CID009706,CID005813,Same Phone
REL000126,CID008580,CID002232,Same Phone
REL000127,CID004781,CID004009,Business Partner
REL000128,CID001657,CID000638,Money Transfer
REL000129,CID004461,CID002788,Gang Member
REL000130,CID006360,CID006000,Money Transfer
REL000131,CID006045,CID004940,Money Transfer
REL000132,CID003965,CID009628,Same Bank Account
REL000133,CID004404,CID002011,Same Bank Account
REL000134,CID004274,CID004233,Associate
REL000135,CID008562,CID005918,Business Partner
REL000136,CID001154,CID001858,Same Bank Account
REL000137,CID007306,CID009053,Money Transfer
REL000138,CID003045,CID003982,Business Partner
REL000139,CID003508,CID006390,Same Phone
REL000140,CID007307,CID004068,Friend
REL000141,CID008626,CID005548,Friend
REL000142,CID008643,CID000936,Gang Member
REL000143,CID001727,CID003604,Business Partner
REL000144,CID005694,CID000830,Same Bank Account
REL000145,CID007979,CID008365,Money Transfer
REL000146,CID002892,CID002002,Money Transfer
REL000147,CID007695,CID006385,Business Partner
REL000148,CID003109,CID008645,Same Vehicle
REL000149,CID007015,CID002310,Same Vehicle
REL000150,CID003476,CID004424,Business Partner
REL000151,CID001949,CID000374,Gang Member
REL000152,CID002644,CID001627,Same Bank Account
REL000153,CID001392,CID000943,Same Bank Account
REL000154,CID001115,CID001985,Brother
REL000155,CID009606,CID004163,Same Vehicle
REL000156,CID003810,CID005704,Brother
REL000157,CID006908,CID004132,Gang Member
REL000158,CID008998,CID002963,Same Phone
REL000159,CID000156,CID006712,Brother
