event_id,case_id,event
TIME000001,CASE000001,Witness Statement Recorded
TIME000002,CASE000001,Forensic Report Received
TIME000003,CASE000001,Suspect Arrested
TIME000004,CASE000001,Evidence Collected
TIME000005,CASE000001,FIR Registered
TIME000006,CASE000001,Charge Sheet Filed
TIME000007,CASE000001,Complaint Registered
TIME000008,CASE000002,FIR Registered
TIME000009,CASE000002,Charge Sheet Filed
TIME000010,CASE000002,Complaint Registered
TIME000011,CASE000003,Forensic Report Received
TIME000012,CASE000003,Evidence Collected
TIME000013,CASE000003,Witness Statement Recorded
TIME000014,CASE000004,Suspect Identified
TIME000015,CASE000004,Complaint Registered
TIME000016,CASE000004,Witness Statement Recorded
TIME000017,CASE000004,FIR Registered
TIME000018,CASE000004,Charge Sheet Filed
TIME000019,CASE000004,Evidence Collected
TIME000020,CASE000004,Suspect Arrested
TIME000021,CASE000005,Suspect Identified
TIME000022,CASE000005,Charge Sheet Filed
TIME000023,CASE000005,Witness Statement Recorded
TIME000024,CASE000005,Complaint Registered
TIME000025,CASE000005,Forensic Report Received
TIME000026,CASE000005,Evidence Collected
TIME000027,CASE000005,FIR Registered
TIME000028,CASE000006,Charge Sheet Filed
TIME000029,CASE000006,Forensic Report Received
TIME000030,CASE000006,Suspect Arrested
TIME000031,CASE000006,Suspect Identified
TIME000032,CASE000006,FIR Registered
TIME000033,CASE000006,Evidence Collected
TIME000034,CASE000006,Complaint Registered
TIME000035,CASE000007,Complaint Registered
TIME000036,CASE000007,Forensic Report Received
TIME000037,CASE000007,Charge Sheet Filed
TIME000038,CASE000007,Suspect Identified
TIME000039,CASE000007,Evidence Collected
TIME000040,CASE000007,Witness Statement Recorded
TIME000041,CASE000007,FIR Registered
TIME000042,CASE000007,Suspect Arrested
TIME000043,CASE000008,Suspect Arrested
TIME000044,CASE000008,Suspect Identified
TIME000045,CASE000008,Witness Statement Recorded
TIME000046,CASE000009,Suspect Arrested
TIME000047,CASE000009,Forensic Report Received
TIME000048,CASE000009,Charge Sheet Filed
TIME000049,CASE000009,FIR Registered
TIME000050,CASE000009,Suspect Identified
TIME000051,CASE000009,Complaint Registered
TIME000052,CASE000009,Evidence Collected
TIME000053,CASE000010,Evidence Collected
TIME000054,CASE000010,Complaint Registered
TIME000055,CASE000010,Suspect Arrested
TIME000056,CASE000010,Suspect Identified
TIME000057,CASE000010,Witness Statement Recorded
TIME000058,CASE000010,Charge Sheet Filed
TIME000059,CASE000011,Evidence Collected
TIME000060,CASE000011,Suspect Arrested
TIME000061,CASE000011,Forensic Report Received
TIME000062,CASE000011,Complaint Registered
TIME000063,CASE000012,Suspect Arrested
TIME000064,CASE000012,Forensic Report Received
TIME000065,CASE000012,Witness Statement Recorded
TIME000066,CASE000012,Charge Sheet Filed
TIME000067,CASE000013,Forensic Report Received
TIME000068,CASE000013,FIR Registered
TIME000069,CASE000013,Complaint Registered
TIME000070,CASE000013,Witness Statement Recorded
TIME000071,CASE000013,Suspect Identified
TIME000072,CASE000013,Evidence Collected
TIME000073,CASE000013,Charge Sheet Filed
TIME000074,CASE000013,Suspect Arrested
TIME000075,CASE000014,FIR Registered
TIME000076,CASE000014,Witness Statement Recorded
TIME000077,CASE000014,Evidence Collected
TIME000078,CASE000015,Suspect Arrested
TIME000079,CASE000015,Complaint Registered
TIME000080,CASE000015,Evidence Collected
TIME000081,CASE000015,FIR Registered
TIME000082,CASE000015,Witness Statement Recorded
TIME000083,CASE000016,FIR Registered
TIME000084,CASE000016,Complaint Registered
TIME000085,CASE000016,Charge Sheet Filed
TIME000086,CASE000016,Suspect Identified
TIME000087,CASE000016,Evidence Collected
TIME000088,CASE000016,Forensic Report Received
TIME000089,CASE000016,Suspect Arrested
TIME000090,CASE000016,Witness Statement Recorded
TIME000091,CASE000017,Evidence Collected
TIME000092,CASE000017,Forensic Report Received
TIME000093,CASE000017,Charge Sheet Filed
TIME000094,CASE000017,Witness Statement Recorded
TIME000095,CASE000017,Suspect Arrested
TIME000096,CASE000017,FIR Registered
TIME000097,CASE000017,Complaint Registered
TIME000098,CASE000018,Suspect Arrested
TIME000099,CASE000018,Charge Sheet Filed
TIME000100,CASE000018,Suspect Identified
TIME000101,CASE000018,Forensic Report Received
TIME000102,CASE000019,Evidence Collected
TIME000103,CASE000019,Suspect Arrested
TIME000104,CASE000019,Suspect Identified
TIME000105,CASE000020,Complaint Registered
TIME000106,CASE000020,Charge Sheet Filed
TIME000107,CASE000020,Suspect Identified
TIME000108,CASE000020,Evidence Collected
TIME000109,CASE000021,Complaint Registered
TIME000110,CASE000021,Evidence Collected
TIME000111,CASE000021,Charge Sheet Filed
TIME000112,CASE000021,Suspect Arrested
TIME000113,CASE000021,Witness Statement Recorded
TIME000114,CASE000021,Forensic Report Received
TIME000115,CASE000021,FIR Registered
TIME000116,CASE000022,Suspect Arrested
TIME000117,CASE000022,Evidence Collected
TIME000118,CASE000022,Complaint Registered
TIME000119,CASE000022,Suspect Identified
TIME000120,CASE000022,Charge Sheet Filed
TIME000121,CASE000022,Witness Statement Recorded
TIME000122,CASE000023,FIR Registered
TIME000123,CASE000023,Charge Sheet Filed
TIME000124,CASE000023,Evidence Collected
TIME000125,CASE000023,Suspect Arrested
TIME000126,CASE000023,Complaint Registered
TIME000127,CASE000023,Forensic Report Received
TIME000128,CASE000024,Suspect Arrested
TIME000129,CASE000024,Forensic Report Received
TIME000130,CASE000024,Witness Statement Recorded
TIME000131,CASE000025,Evidence Collected
TIME000132,CASE000025,Witness Statement Recorded
TIME000133,CASE000025,FIR Registered
TIME000134,CASE000025,Suspect Identified
TIME000135,CASE000025,Charge Sheet Filed
TIME000136,CASE000025,Forensic Report Received
TIME000137,CASE000025,Complaint Registered
TIME000138,CASE000025,Suspect Arrested
TIME000139,CASE000026,Witness Statement Recorded
TIME000140,CASE000026,Suspect Arrested
TIME000141,CASE000026,Complaint Registered
TIME000142,CASE000027,Witness Statement Recorded
TIME000143,CASE000027,Charge Sheet Filed
TIME000144,CASE000027,Suspect Arrested
TIME000145,CASE000027,Evidence Collected
TIME000146,CASE000027,FIR Registered
TIME000147,CASE000027,Forensic Report Received
TIME000148,CASE000028,FIR Registered
TIME000149,CASE000028,Charge Sheet Filed
TIME000150,CASE000028,Suspect Arrested
TIME000151,CASE000028,Forensic Report Received
TIME000152,CASE000028,Suspect Identified
TIME000153,CASE000028,Complaint Registered
TIME000154,CASE000028,Witness Statement Recorded
TIME000155,CASE000028,Evidence Collected
TIME000156,CASE000029,Charge Sheet Filed
TIME000157,CASE000029,FIR Registered
TIME000158,CASE000029,Evidence Collected
TIME000159,CASE000029,Forensic Report Received
TIME000160,CASE000029,Complaint Registered
TIME000161,CASE000029,Witness Statement Recorded
TIME000162,CASE000029,Suspect Arrested
TIME000163,CASE000029,Suspect Identified
TIME000164,CASE000030,Suspect Arrested
TIME000165,CASE000030,Complaint Registered
TIME000166,CASE000030,Evidence Collected
TIME000167,CASE000030,Forensic Report Received
TIME000168,CASE000031,FIR Registered
TIME000169,CASE000031,Charge Sheet Filed
TIME000170,CASE000031,Witness Statement Recorded
TIME000171,CASE000032,Charge Sheet Filed
TIME000172,CASE000032,FIR Registered
TIME000173,CASE000032,Suspect Arrested
TIME000174,CASE000032,Suspect Identified
TIME000175,CASE000032,Forensic Report Received
TIME000176,CASE000032,Witness Statement Recorded
TIME000177,CASE000033,Witness Statement Recorded
TIME000178,CASE000033,Suspect Arrested
TIME000179,CASE000033,Charge Sheet Filed
TIME000180,CASE000033,Forensic Report Received
TIME000181,CASE000033,FIR Registered
TIME000182,CASE000033,Complaint Registered
TIME000183,CASE000033,Evidence Collected
TIME000184,CASE000033,Suspect Identified
TIME000185,CASE000034,Witness Statement Recorded
TIME000186,CASE000034,Suspect Arrested
TIME000187,CASE000034,Complaint Registered
TIME000188,CASE000035,Suspect Identified
TIME000189,CASE000035,Suspect Arrested
TIME000190,CASE000035,Complaint Registered
