user_id,officer_id,username,role_id,station_id,status,last_login
USR0001,OFF00362,officer362,ROLE03,ST0022,Active,2026-06-27
USR0002,OFF00074,officer74,ROLE06,ST0008,Active,2026-06-23
USR0003,OFF00375,officer375,ROLE06,ST0034,Active,2026-06-25
USR0004,OFF00156,officer156,ROLE04,ST0069,Active,2026-06-14
USR0005,OFF00105,officer105,ROLE03,ST0051,Active,2026-06-17
USR0006,OFF00395,officer395,ROLE06,ST0033,Active,2026-06-28
USR0007,OFF00378,officer378,ROLE03,ST0059,Active,2026-06-27
USR0008,OFF00125,officer125,ROLE06,ST0028,Active,2026-06-12
USR0009,OFF00069,officer69,ROLE06,ST0054,Active,2026-06-20
USR0010,OFF00451,officer451,ROLE06,ST0016,Active,2026-06-29
USR0011,OFF00010,officer10,ROLE03,ST0037,Active,2026-06-22
USR0012,OFF00195,officer195,ROLE04,ST0084,Active,2026-06-21
USR0013,OFF00407,officer407,ROLE06,ST0020,Active,2026-06-26
USR0014,OFF00085,officer85,ROLE05,ST0014,Active,2026-06-30
USR0015,OFF00372,officer372,ROLE06,ST0100,Active,2026-06-21
USR0016,OFF00389,officer389,ROLE04,ST0043,Active,2026-06-15
USR0017,OFF00496,officer496,ROLE04,ST0046,Active,2026-06-11
USR0018,OFF00031,officer31,ROLE05,ST0026,Active,2026-07-01
USR0019,OFF00317,officer317,ROLE04,ST0098,Active,2026-06-27
USR0020,OFF00409,officer409,ROLE06,ST0094,Active,2026-06-11
USR0021,OFF00491,officer491,ROLE04,ST0100,Active,2026-06-15
USR0022,OFF00492,officer492,ROLE04,ST0007,Active,2026-06-19
USR0023,OFF00281,officer281,ROLE05,ST0090,Active,2026-07-01
USR0024,OFF00357,officer357,ROLE03,ST0096,Active,2026-06-19
USR0025,OFF00077,officer77,ROLE05,ST0041,Active,2026-06-30
USR0026,OFF00462,officer462,ROLE04,ST0084,Active,2026-06-22
USR0027,OFF00498,officer498,ROLE04,ST0032,Active,2026-06-14
USR0028,OFF00212,officer212,ROLE04,ST0073,Active,2026-07-01
USR0029,OFF00102,officer102,ROLE03,ST0099,Active,2026-06-26
USR0030,OFF00335,officer335,ROLE05,ST0032,Active,2026-06-26
USR0031,,admin.scrb,ROLE01,,Active,2026-07-10
USR0032,,sp.blr.city,ROLE02,,Active,2026-07-10
USR0033,,dsp.mysuru,ROLE03,,Active,2026-07-10
