case_id,fir_number,crime_type,station_id,officer_id,status,priority,incident_date,registered_date,city,district,description,estimated_loss
CASE000001,FIR2026000001,Burglary,ST0058,OFF00249,Pending,Medium,2024-12-28,2025-10-06,Mysuru,Belagavi,Fugiat voluptatibus dolores rem modi temporibus consequuntur et temporibus ullam doloribus numquam molestiae.,112645
CASE000002,FIR2026000002,Mobile Theft,ST0027,OFF00412,Pending,Low,2024-05-30,2026-01-27,Tumakuru,Dakshina Kannada,Est quisquam nam vitae quia numquam aperiam dolores voluptates autem numquam voluptatum reiciendis incidunt.,993514
CASE000003,FIR2026000003,Domestic Violence,ST0059,OFF00003,Pending,Critical,2024-06-11,2023-07-23,Mysuru,Shivamogga,Doloremque doloribus fuga suscipit cum consequatur nobis ullam magni consequatur.,235438
CASE000004,FIR2026000004,Drug Trafficking,ST0088,OFF00312,Open,Medium,2024-04-10,2026-01-23,Bengaluru,Tumakuru,Suscipit odit impedit et adipisci eaque ipsa a id.,352346
CASE000005,FIR2026000005,Kidnapping,ST0079,OFF00449,Open,Medium,2026-02-18,2025-02-24,Bengaluru,Shivamogga,At corrupti temporibus distinctio sint amet laborum ab expedita iure quos asperiores.,100619
CASE000006,FIR2026000006,UPI Fraud,ST0029,OFF00497,Pending,Medium,2024-10-23,2026-03-30,Shivamogga,Tumakuru,Laudantium eius ut debitis quibusdam molestiae totam voluptates deserunt eaque.,960354
CASE000007,FIR2026000007,Murder,ST0072,OFF00326,Closed,Critical,2023-11-17,2023-06-21,Bengaluru,Shivamogga,Ipsum laboriosam commodi perspiciatis doloremque est veniam iste iure accusamus corporis sed.,1604
CASE000008,FIR2026000008,Domestic Violence,ST0047,OFF00083,Under Investigation,Critical,2024-12-26,2026-03-04,Bengaluru,Dharwad,Ullam soluta dignissimos esse quisquam cum adipisci expedita ad quasi.,852
CASE000009,FIR2026000009,Burglary,ST0029,OFF00025,Open,High,2024-06-20,2023-06-15,Bengaluru,Mysuru,Nostrum possimus magni asperiores officiis dignissimos fugiat eos maxime blanditiis ad libero iure quasi.,126612
CASE000010,FIR2026000010,Chain Snatching,ST0026,OFF00237,Pending,High,2026-01-09,2023-01-24,Belagavi,Mysuru,Delectus distinctio expedita architecto officia fugiat nihil quos.,559367
CASE000011,FIR2026000011,Identity Theft,ST0088,OFF00024,Pending,Medium,2025-01-04,2023-10-11,Belagavi,Dakshina Kannada,Repellendus facilis quisquam est quam distinctio labore non maiores deleniti mollitia rem ut.,55341
CASE000012,FIR2026000012,Domestic Violence,ST0019,OFF00191,Under Investigation,High,2025-04-09,2023-06-13,Bengaluru,Shivamogga,Eum provident occaecati quis iure neque cum nesciunt nam sint eveniet.,585992
CASE000013,FIR2026000013,ATM Fraud,ST0092,OFF00408,Open,High,2026-02-13,2023-09-12,Tumakuru,Bengaluru Urban,Vero reprehenderit earum mollitia aliquam veritatis cupiditate totam perspiciatis eos minima.,814000
CASE000014,FIR2026000014,Assault,ST0072,OFF00274,Pending,Medium,2025-03-21,2024-03-13,Bengaluru,Shivamogga,Tempore rerum accusamus delectus saepe esse maxime corrupti dolorem praesentium autem est.,178455
CASE000015,FIR2026000015,Chain Snatching,ST0017,OFF00140,Open,Medium,2025-03-31,2024-07-03,Hubballi,Belagavi,Officiis accusantium ipsam occaecati at eligendi architecto tenetur deleniti sapiente praesentium magnam quasi harum iusto perspiciatis.,826642
CASE000016,FIR2026000016,Mobile Theft,ST0028,OFF00362,Under Investigation,High,2024-01-13,2024-12-22,Mysuru,Belagavi,Voluptatum facere non libero repellat laborum consequuntur eum saepe molestias nemo quia pariatur quas suscipit.,953719
CASE000017,FIR2026000017,Missing Person,ST0013,OFF00181,Under Investigation,Low,2026-01-24,2023-04-06,Ballari,Dakshina Kannada,Cupiditate totam nihil dolores cum dolor accusantium cupiditate necessitatibus iure officia facilis.,238709
CASE000018,FIR2026000018,Domestic Violence,ST0014,OFF00042,Closed,High,2024-05-28,2023-09-15,Bengaluru,Belagavi,Eum nemo eaque repellendus aliquam illo saepe.,541455
CASE000019,FIR2026000019,Chain Snatching,ST0088,OFF00093,Under Investigation,Low,2025-07-15,2025-11-17,Mysuru,Ballari,Eveniet earum voluptas voluptas fugit quo vero.,84533
CASE000020,FIR2026000020,Domestic Violence,ST0024,OFF00025,Open,Medium,2025-08-11,2023-10-05,Belagavi,Tumakuru,Dignissimos incidunt iste unde adipisci harum autem modi.,766432
CASE000021,FIR2026000021,Online Scam,ST0043,OFF00423,Open,High,2023-12-30,2025-02-19,Tumakuru,Dakshina Kannada,Pariatur dolorum quod asperiores quas numquam blanditiis officia eligendi.,473814
CASE000022,FIR2026000022,Kidnapping,ST0080,OFF00241,Under Investigation,Medium,2024-12-05,2023-06-22,Mangaluru,Shivamogga,Nam soluta inventore sit officiis consequatur nisi dolores.,494537
CASE000023,FIR2026000023,Domestic Violence,ST0081,OFF00392,Pending,Critical,2025-06-16,2025-09-05,Mangaluru,Mysuru,Officiis possimus ipsa a veniam officia possimus eaque ipsa sint voluptatem aliquid nulla deleniti iusto.,314100
CASE000024,FIR2026000024,Cyber Fraud,ST0025,OFF00202,Closed,High,2026-05-01,2024-07-09,Bengaluru,Bengaluru Urban,Excepturi voluptatum culpa similique veniam accusantium dolores ad minus odio illo quas ipsum ratione mollitia.,34089
CASE000025,FIR2026000025,Chain Snatching,ST0080,OFF00423,Closed,Medium,2024-09-22,2023-09-28,Tumakuru,Dharwad,Voluptatum ab praesentium aliquam veritatis saepe necessitatibus.,509293
CASE000026,FIR2026000026,UPI Fraud,ST0049,OFF00124,Open,Low,2023-11-23,2024-02-11,Hubballi,Shivamogga,Magnam at modi eum laudantium natus dolorum odit quasi sit.,156052
CASE000027,FIR2026000027,Murder,ST0074,OFF00075,Pending,Critical,2023-11-13,2024-05-05,Mangaluru,Mysuru,Laboriosam architecto impedit adipisci omnis praesentium ab iure hic ratione quam quam facere.,621275
CASE000028,FIR2026000028,Domestic Violence,ST0004,OFF00188,Open,Critical,2024-11-27,2025-04-06,Mysuru,Ballari,Praesentium facere distinctio laboriosam voluptates quis molestiae molestiae nam tempora natus iusto odit maxime optio.,157919
CASE000029,FIR2026000029,Murder,ST0006,OFF00079,Pending,Low,2024-05-25,2024-03-04,Bengaluru,Belagavi,Quia unde libero eveniet tempora accusamus atque quae suscipit deleniti autem suscipit reprehenderit.,685608
CASE000030,FIR2026000030,Domestic Violence,ST0074,OFF00240,Pending,Low,2025-05-21,2024-04-05,Mysuru,Mysuru,Quas cumque odit dolore placeat possimus tempore odit magnam et dolore.,772616
CASE000031,FIR2026000031,Missing Person,ST0063,OFF00397,Open,Medium,2024-07-27,2025-10-26,Hubballi,Dakshina Kannada,Hic soluta ab nemo corporis officia veniam cupiditate optio.,386266
CASE000032,FIR2026000032,Kidnapping,ST0047,OFF00482,Closed,Medium,2025-09-02,2025-08-09,Shivamogga,Bengaluru Urban,Consequatur maiores minima deserunt asperiores iste aliquam saepe suscipit quas dolore illo quisquam excepturi quos tenetur.,41778
CASE000033,FIR2026000033,Mobile Theft,ST0037,OFF00211,Open,High,2025-02-10,2025-04-02,Hubballi,Ballari,Necessitatibus impedit in in expedita delectus harum nihil cumque distinctio ducimus iusto architecto vitae numquam.,736638
CASE000034,FIR2026000034,Cyber Fraud,ST0009,OFF00345,Open,Critical,2026-02-05,2023-07-21,Shivamogga,Mysuru,Voluptas porro repudiandae quaerat voluptatem dolorem qui a distinctio.,467338
CASE000035,FIR2026000035,Murder,ST0007,OFF00171,Pending,Critical,2026-05-24,2023-04-05,Tumakuru,Mysuru,Harum blanditiis sunt tempora aspernatur animi perspiciatis pariatur reiciendis iure ipsa dignissimos illum totam.,9516
CASE000036,FIR2026000036,Burglary,ST0016,OFF00103,Under Investigation,Low,2024-05-29,2024-12-27,Mysuru,Mysuru,Illum quis voluptas est ex minima eos temporibus numquam iste facilis.,217954
CASE000037,FIR2026000037,Online Scam,ST0001,OFF00177,Open,Low,2025-03-21,2023-09-29,Ballari,Dakshina Kannada,Quo debitis voluptatibus placeat praesentium tempora esse.,789958
CASE000038,FIR2026000038,Drug Trafficking,ST0088,OFF00103,Pending,Low,2023-12-05,2025-08-30,Bengaluru,Tumakuru,Totam magnam quaerat aut a illum quas nam doloremque voluptatum distinctio.,598933
CASE000039,FIR2026000039,Murder,ST0043,OFF00024,Closed,Low,2024-06-04,2025-03-12,Mysuru,Dakshina Kannada,Provident expedita magnam eveniet cumque dolores at.,841164
