evidence_id,case_id,evidence_type,description,status,collected_by
EV000001,CASE005982,CCTV Footage,Quisquam sapiente porro nam dolores.,Collected,OFF00180
EV000002,CASE006261,Video,Provident consequatur ex dolorem in.,Pending Analysis,OFF00324
EV000003,CASE001412,Photo,Ad ipsa blanditiis occaecati odio ducimus aliquid.,Pending Analysis,OFF00208
EV000004,CASE004341,Call Records,Maiores quod quibusdam atque iure corporis rem.,Pending Analysis,OFF00133
EV000005,CASE006371,Weapon,Nam corrupti accusamus id fugiat ratione atque est hic.,Pending Analysis,OFF00259
EV000006,CASE001703,Call Records,Culpa est esse aperiam minima fugiat dicta.,Pending Analysis,OFF00428
EV000007,CASE007731,CCTV Footage,Porro placeat quos dolore ut dolorum maxime voluptatum sed aut.,Sent to FSL,OFF00008
EV000008,CASE009491,WhatsApp Chat,Quibusdam hic magni illum iure quae.,Collected,OFF00135
EV000009,CASE003865,Bank Statement,Odio quasi veniam nihil architecto recusandae optio molestiae.,Collected,OFF00223
EV000010,CASE005130,Mobile Phone,Sed iusto maxime temporibus natus.,Sent to FSL,OFF00270
EV000011,CASE003525,Laptop,Omnis suscipit rerum veniam fugiat minima cumque in.,Pending Analysis,OFF00290
EV000012,CASE008774,Passport,Voluptatem eaque in repudiandae excepturi libero iure.,Pending Analysis,OFF00451
EV000013,CASE006117,Photo,Qui veniam aliquam amet pariatur sequi in saepe similique iste.,Verified,OFF00047
EV000014,CASE002803,Fingerprint,Error tempora tempore porro numquam doloribus esse.,Verified,OFF00317
EV000015,CASE004351,Bank Statement,Consequuntur quia similique velit adipisci reprehenderit aperiam consequuntur.,Pending Analysis,OFF00053
EV000016,CASE000795,Photo,Cupiditate asperiores incidunt eligendi iste eligendi maiores ratione asperiores.,Pending Analysis,OFF00327
EV000017,CASE004459,Video,Quidem ratione quae iste tenetur molestiae minima quos pariatur.,Verified,OFF00286
EV000018,CASE002794,Passport,Facere ab quas aliquid commodi nihil.,Verified,OFF00105
EV000019,CASE002972,WhatsApp Chat,Eligendi numquam error repellat maxime.,Sent to FSL,OFF00235
EV000020,CASE004187,Fingerprint,Dolores veniam aperiam cum odio.,Verified,OFF00392
EV000021,CASE005198,SIM Card,Laborum similique quos dignissimos minima quisquam officiis maxime magnam.,Sent to FSL,OFF00405
EV000022,CASE006562,Weapon,Magni fugit minima facilis accusantium excepturi iusto sit natus.,Verified,OFF00135
EV000023,CASE005935,Photo,Magnam atque possimus corporis tenetur soluta.,Pending Analysis,OFF00329
EV000024,CASE005989,Fingerprint,Quo ratione consectetur corporis.,Sent to FSL,OFF00197
EV000025,CASE004055,Photo,Cupiditate accusantium similique quas odio necessitatibus repellendus sunt dolores adipisci.,Sent to FSL,OFF00284
EV000026,CASE002743,Photo,Facere enim soluta laborum numquam quod et saepe.,Collected,OFF00134
EV000027,CASE003198,WhatsApp Chat,Nostrum voluptate dolore doloremque vel explicabo voluptates.,Collected,OFF00086
EV000028,CASE003150,DNA Sample,Perspiciatis distinctio doloribus eum ex ratione.,Verified,OFF00023
EV000029,CASE003355,Call Records,Provident iure ut dolorem distinctio tenetur laudantium porro culpa.,Sent to FSL,OFF00264
EV000030,CASE005884,Mobile Phone,Esse eligendi aperiam saepe in.,Sent to FSL,OFF00122
