vehicle_id,citizen_id,vehicle_number,vehicle_type
VH000001,CID000002,KA46AB5138,Car
VH000002,CID000003,KA78AB3542,Bike
VH000003,CID000004,KA95AB3833,Car
VH000004,CID000005,KA46AB7898,Car
VH000005,CID000008,KA96AB5651,Car
VH000006,CID000009,KA04AB7433,Bike
VH000007,CID000010,KA64AB7639,Truck
VH000008,CID000012,KA13AB9042,Auto
VH000009,CID000013,KA52AB6941,Truck
VH000010,CID000015,KA93AB2703,Truck
VH000011,CID000016,KA83AB3542,Truck
VH000012,CID000019,KA93AB2254,Car
VH000013,CID000020,KA12AB3889,Truck
VH000014,CID000022,KA76AB7630,Truck
VH000015,CID000023,KA01AB9593,Car
VH000016,CID000026,KA54AB8218,Auto
VH000017,CID000028,KA10AB4502,Car
VH000018,CID000030,KA56AB6551,Auto
VH000019,CID000032,KA71AB3578,Car
VH000020,CID000033,KA58AB1274,Auto
VH000021,CID000034,KA83AB7555,Car
VH000022,CID000035,KA93AB1687,Truck
VH000023,CID000037,KA26AB5322,Truck
VH000024,CID000038,KA63AB9894,Car
VH000025,CID000039,KA25AB1199,Truck
VH000026,CID000041,KA39AB6384,Truck
VH000027,CID000045,KA97AB8703,Car
VH000028,CID000046,KA20AB4963,Bike
VH000029,CID000047,KA51AB8463,Auto
VH000030,CID000048,KA35AB8464,Car
VH000031,CID000051,KA42AB4292,Car
VH000032,CID000055,KA55AB9084,Bike
VH000033,CID000056,KA98AB4450,Auto
VH000034,CID000057,KA44AB6998,Auto
VH000035,CID000058,KA04AB6807,Auto
VH000036,CID000059,KA99AB2818,Car
VH000037,CID000060,KA68AB9623,Auto
VH000038,CID000061,KA18AB5825,Car
VH000039,CID000063,KA33AB1289,Bike
VH000040,CID000065,KA58AB4109,Auto
VH000041,CID000067,KA66AB5490,Bike
VH000042,CID000069,KA23AB1667,Auto
VH000043,CID000070,KA91AB6178,Car
VH000044,CID000071,KA59AB3688,Truck
VH000045,CID000072,KA01AB6490,Auto
VH000046,CID000074,KA57AB4213,Truck
VH000047,CID000075,KA08AB7704,Car
VH000048,CID000076,KA26AB6050,Car
VH000049,CID000077,KA05AB7734,Bike
VH000050,CID000079,KA89AB8048,Truck
VH000051,CID000080,KA79AB1782,Auto
VH000052,CID000081,KA49AB3357,Bike
VH000053,CID000084,KA68AB2301,Car
VH000054,CID000086,KA66AB5730,Car
VH000055,CID000087,KA85AB3642,Auto
VH000056,CID000088,KA51AB2740,Auto
VH000057,CID000089,KA61AB7347,Bike
VH000058,CID000090,KA55AB3552,Bike
VH000059,CID000091,KA64AB2073,Auto
VH000060,CID000093,KA29AB8887,Truck
VH000061,CID000094,KA10AB3430,Car
VH000062,CID000096,KA55AB2870,Truck
VH000063,CID000097,KA53AB8778,Car
VH000064,CID000099,KA07AB3593,Car
VH000065,CID000101,KA73AB8344,Car
VH000066,CID000102,KA32AB7537,Bike
VH000067,CID000103,KA13AB1177,Truck
VH000068,CID000104,KA24AB6461,Bike
VH000069,CID000107,KA71AB6611,Auto
VH000070,CID000108,KA21AB7377,Auto
VH000071,CID000110,KA38AB7180,Auto
VH000072,CID000112,KA39AB6286,Auto
VH000073,CID000113,KA47AB9053,Truck
VH000074,CID000115,KA82AB7512,Bike
VH000075,CID000117,KA07AB5254,Car
VH000076,CID000118,KA56AB8085,Car
VH000077,CID000120,KA52AB7463,Bike
VH000078,CID000122,KA22AB2174,Truck
VH000079,CID000123,KA09AB9785,Truck
VH000080,CID000124,KA36AB1900,Car
VH000081,CID000126,KA93AB4813,Truck
VH000082,CID000127,KA24AB6852,Auto
VH000083,CID000131,KA78AB7014,Truck
VH000084,CID000134,KA83AB7544,Car
VH000085,CID000135,KA05AB8215,Truck
VH000086,CID000136,KA09AB7656,Car
VH000087,CID000137,KA18AB7502,Auto
VH000088,CID000139,KA97AB3418,Bike
VH000089,CID000140,KA58AB5401,Auto
VH000090,CID000142,KA19AB6616,Bike
VH000091,CID000143,KA73AB8775,Auto
VH000092,CID000145,KA04AB9907,Truck
VH000093,CID000148,KA59AB8299,Car
VH000094,CID000151,KA42AB6999,Bike
VH000095,CID000152,KA12AB1250,Auto
VH000096,CID000153,KA64AB8368,Car
VH000097,CID000154,KA02AB5294,Bike
VH000098,CID000155,KA31AB6499,Truck
VH000099,CID000156,KA20AB5912,Bike
VH000100,CID000157,KA80AB8007,Auto
VH000101,CID000160,KA72AB5599,Bike
VH000102,CID000161,KA41AB2812,Bike
