victim_id,case_id,citizen_id,injury_level
VIC000001,CASE001277,CID003772,Serious
VIC000002,CASE000100,CID001411,Critical
VIC000003,CASE003189,CID004359,Serious
VIC000004,CASE005279,CID001705,Minor
VIC000005,CASE002670,CID004694,Minor
VIC000006,CASE003295,CID006155,Minor
VIC000007,CASE006854,CID003503,Serious
VIC000008,CASE007342,CID009643,Serious
VIC000009,CASE007117,CID009955,None
VIC000010,CASE001277,CID000345,None
VIC000011,CASE008217,CID007055,Critical
VIC000012,CASE009762,CID006294,Critical
VIC000013,CASE005746,CID001753,None
VIC000014,CASE001427,CID005626,Minor
VIC000015,CASE007195,CID008778,Critical
VIC000016,CASE005887,CID007003,Serious
VIC000017,CASE000959,CID003536,Critical
VIC000018,CASE009574,CID005830,Serious
VIC000019,CASE001023,CID007777,Critical
VIC000020,CASE008561,CID002983,None
VIC000021,CASE005507,CID001130,Minor
VIC000022,CASE008637,CID004411,Minor
VIC000023,CASE002500,CID004807,Critical
VIC000024,CASE004758,CID009581,None
VIC000025,CASE009960,CID001925,Critical
VIC000026,CASE002052,CID000791,Minor
VIC000027,CASE001251,CID006170,Critical
VIC000028,CASE001619,CID000574,Critical
VIC000029,CASE004105,CID008554,None
VIC000030,CASE008661,CID008227,Serious
VIC000031,CASE004023,CID008505,Serious
VIC000032,CASE003551,CID009866,None
VIC000033,CASE008251,CID005496,None
VIC000034,CASE008011,CID002667,None
VIC000035,CASE004130,CID001774,Critical
VIC000036,CASE006061,CID000631,None
VIC000037,CASE006544,CID006686,Critical
VIC000038,CASE004314,CID009921,Minor
VIC000039,CASE004679,CID004240,Critical
VIC000040,CASE000125,CID001629,Serious
VIC000041,CASE001258,CID004419,Serious
VIC000042,CASE000617,CID009047,Minor
VIC000043,CASE005226,CID007559,None
VIC000044,CASE005959,CID001002,None
VIC000045,CASE003539,CID006091,Minor
VIC000046,CASE002995,CID004366,None
VIC000047,CASE009756,CID007673,Serious
VIC000048,CASE005953,CID003652,None
VIC000049,CASE007458,CID005018,Critical
VIC000050,CASE007745,CID000521,Serious
VIC000051,CASE005233,CID002795,None
VIC000052,CASE005959,CID005354,Critical
VIC000053,CASE004227,CID001700,Critical
VIC000054,CASE004827,CID003140,None
VIC000055,CASE005243,CID007154,None
VIC000056,CASE009904,CID006572,Serious
VIC000057,CASE006137,CID000794,Minor
VIC000058,CASE008238,CID008480,Minor
VIC000059,CASE009735,CID001848,Minor
VIC000060,CASE002066,CID005387,None
VIC000061,CASE009531,CID000969,None
VIC000062,CASE002567,CID002847,Critical
VIC000063,CASE006769,CID007696,Serious
VIC000064,CASE002726,CID007097,Minor
VIC000065,CASE006052,CID004413,Critical
VIC000066,CASE004899,CID000159,Minor
VIC000067,CASE000667,CID008730,None
VIC000068,CASE002428,CID009717,Serious
VIC000069,CASE005736,CID003243,Serious
VIC000070,CASE009649,CID007962,Serious
VIC000071,CASE004609,CID005075,Serious
VIC000072,CASE005433,CID003703,Serious
VIC000073,CASE006743,CID003259,Critical
VIC000074,CASE002521,CID001456,Serious
VIC000075,CASE004543,CID007527,Minor
VIC000076,CASE000120,CID008512,Critical
VIC000077,CASE005861,CID004650,Critical
VIC000078,CASE004129,CID000111,None
VIC000079,CASE006487,CID009328,None
VIC000080,CASE008894,CID000396,Serious
VIC000081,CASE005380,CID008908,None
VIC000082,CASE002347,CID007375,Critical
VIC000083,CASE008484,CID001253,None
VIC000084,CASE005159,CID001462,Critical
VIC000085,CASE009305,CID004681,Serious
VIC000086,CASE000265,CID009226,Serious
VIC000087,CASE003986,CID004904,Serious
VIC000088,CASE008925,CID000281,Critical
VIC000089,CASE005800,CID002889,Serious
VIC000090,CASE006594,CID007516,None
VIC000091,CASE009808,CID009511,Minor
VIC000092,CASE002159,CID003379,Minor
VIC000093,CASE008130,CID005237,Critical
VIC000094,CASE006344,CID003888,None
VIC000095,CASE009152,CID000596,Critical
VIC000096,CASE004831,CID007813,Minor
VIC000097,CASE000250,CID008741,Serious
VIC000098,CASE005240,CID006243,None
VIC000099,CASE001778,CID000848,None
VIC000100,CASE007771,CID000637,None
VIC000101,CASE008409,CID001980,Minor
VIC000102,CASE005540,CID004574,Critical
VIC000103,CASE008178,CID008060,Serious
VIC000104,CASE005021,CID002119,None
VIC000105,CASE003553,CID001550,None
VIC000106,CASE001135,CID006730,Minor
VIC000107,CASE001797,CID004179,Minor
VIC000108,CASE009966,CID005217,Serious
VIC000109,CASE007055,CID003145,Critical
VIC000110,CASE000011,CID002951,Minor
VIC000111,CASE009090,CID009786,None
VIC000112,CASE005343,CID005670,Minor
VIC000113,CASE007524,CID007351,Serious
VIC000114,CASE006232,CID000848,None
VIC000115,CASE003530,CID003003,None
VIC000116,CASE009665,CID002680,Serious
VIC000117,CASE002123,CID001337,Critical
VIC000118,CASE003275,CID000702,Critical
VIC000119,CASE007598,CID008280,Minor
VIC000120,CASE000663,CID000786,Minor
VIC000121,CASE004797,CID003868,Critical
VIC000122,CASE008574,CID001332,Minor
VIC000123,CASE002185,CID001893,Critical
VIC000124,CASE007524,CID002079,None
VIC000125,CASE003562,CID001779,Minor
VIC000126,CASE009755,CID004233,Minor
VIC000127,CASE005954,CID006715,Serious
VIC000128,CASE008431,CID007623,Critical
VIC000129,CASE009967,CID001135,Critical
VIC000130,CASE005841,CID001214,Serious
VIC000131,CASE003957,CID001923,Critical
VIC000132,CASE008248,CID006646,Critical
VIC000133,CASE007032,CID009884,Minor
VIC000134,CASE003250,CID004938,Serious
VIC000135,CASE006451,CID009384,Serious
VIC000136,CASE005882,CID008578,None
VIC000137,CASE005683,CID000673,Minor
VIC000138,CASE007084,CID005501,Serious
VIC000139,CASE005066,CID006849,Serious
VIC000140,CASE008457,CID002935,None
VIC000141,CASE000444,CID003430,Minor
VIC000142,CASE009622,CID001651,None
VIC000143,CASE001448,CID007108,Critical
VIC000144,CASE002386,CID003201,Minor
VIC000145,CASE004158,CID009954,None
VIC000146,CASE008077,CID009193,Critical
VIC000147,CASE008286,CID000112,None
VIC000148,CASE004604,CID001945,Critical
VIC000149,CASE005712,CID004722,None
VIC000150,CASE009969,CID000396,None
VIC000151,CASE008328,CID008453,None
VIC000152,CASE007615,CID009962,Critical
VIC000153,CASE006054,CID002277,Minor
VIC000154,CASE004851,CID004732,Serious
VIC000155,CASE007999,CID004917,None
VIC000156,CASE001816,CID003989,Serious
VIC000157,CASE005174,CID001767,Minor
VIC000158,CASE008597,CID008449,Minor
VIC000159,CASE004298,CID005001,Minor
VIC000160,CASE006057,CID008349,Serious
VIC000161,CASE009172,CID002108,Critical
VIC000162,CASE000245,CID004943,Minor
VIC000163,CASE004924,CID008212,None
VIC000164,CASE007271,CID003637,Critical
VIC000165,CASE002987,CID001404,None
VIC000166,CASE002067,CID008956,Serious
VIC000167,CASE005419,CID004762,Serious
VIC000168,CASE002863,CID002326,None
VIC000169,CASE009645,CID005523,Minor
VIC000170,CASE008597,CID004834,Critical
VIC000171,CASE007877,CID001266,Minor
VIC000172,CASE003457,CID006992,Minor
VIC000173,CASE008051,CID000710,None
VIC000174,CASE003794,CID007878,Minor
VIC000175,CASE003089,CID007154,None
VIC000176,CASE004964,CID009173,Minor
VIC000177,CASE003520,CID009100,None
VIC000178,CASE003885,CID001784,Minor
VIC000179,CASE004793,CID007960,Critical
VIC000180,CASE001300,CID008749,Serious
VIC000181,CASE008039,CID005959,Minor
VIC000182,CASE005733,CID003741,Minor
VIC000183,CASE007633,CID004716,Critical
VIC000184,CASE003918,CID001211,None
VIC000185,CASE008188,CID009759,Serious
VIC000186,CASE008329,CID000532,None
VIC000187,CASE005801,CID002119,Serious
VIC000188,CASE002351,CID006525,Serious
VIC000189,CASE006446,CID007959,None
VIC000190,CASE006277,CID002449,Minor
VIC000191,CASE008796,CID001853,Serious
VIC000192,CASE001589,CID001399,None
VIC000193,CASE000730,CID007629,None
VIC000194,CASE006624,CID000996,Serious
VIC000195,CASE009720,CID005490,None
VIC000196,CASE006305,CID007179,Serious
VIC000197,CASE005204,CID007641,None
VIC000198,CASE007102,CID000644,None
VIC000199,CASE000940,CID004455,Critical
VIC000200,CASE007571,CID000025,Critical
VIC000201,CASE002146,CID005758,Critical
VIC000202,CASE007193,CID002758,Serious
VIC000203,CASE009431,CID005826,Critical
VIC000204,CASE001061,CID006110,Serious
VIC000205,CASE005239,CID007825,Critical
VIC000206,CASE006253,CID009987,Critical
VIC000207,CASE008061,CID002449,None
VIC000208,CASE003949,CID004959,None
VIC000209,CASE002925,CID008988,Minor
VIC000210,CASE003985,CID004894,Serious
VIC000211,CASE007722,CID009965,Critical
VIC000212,CASE000540,CID008383,Serious
VIC000213,CASE008193,CID003538,None
VIC000214,CASE006225,CID009384,Serious
VIC000215,CASE002975,CID003529,None
VIC000216,CASE000760,CID007054,None
VIC000217,CASE006300,CID007673,Serious
VIC000218,CASE000949,CID002525,Critical
VIC000219,CASE006548,CID001961,None
VIC000220,CASE000454,CID008617,Critical
VIC000221,CASE008275,CID008879,Critical
VIC000222,CASE007895,CID006959,Minor
VIC000223,CASE009414,CID007674,Critical
VIC000224,CASE007731,CID000488,Critical
VIC000225,CASE006990,CID000357,Serious
VIC000226,CASE004341,CID005746,None
VIC000227,CASE002856,CID009164,None
VIC000228,CASE006690,CID000822,None
VIC000229,CASE007830,CID006514,Critical
VIC000230,CASE000323,CID002497,Serious
VIC000231,CASE003632,CID004255,Serious
VIC000232,CASE005585,CID001872,Critical
VIC000233,CASE001738,CID002346,Serious
VIC000234,CASE007107,CID000987,Critical
VIC000235,CASE008611,CID003909,Serious
VIC000236,CASE006687,CID005174,Serious
VIC000237,CASE004573,CID000889,Serious
VIC000238,CASE001558,CID004342,None
VIC000239,CASE002436,CID008074,None
VIC000240,CASE004733,CID005101,None
VIC000241,CASE008752,CID000768,None
VIC000242,CASE003009,CID006868,None
VIC000243,CASE002724,CID000641,Serious
